Voltage, ChA, Run #1
Time ( s )	Voltage ( V )
0.0000	0.014
0.1000	0.005
0.2000	-0.001
0.3000	0.009
0.4000	0.016
0.5000	0.005
0.6000	-6.104E-5
0.7000	0.011
0.8000	0.040
0.9000	0.121
1.0000	0.320
1.1000	0.493
1.2000	0.477
1.3000	0.458
1.4000	0.484
1.5000	0.440
1.6000	0.447
1.7000	0.442
1.8000	0.393
1.9000	0.394
2.0000	0.375
2.1000	0.341
2.2000	0.330
2.3000	0.291
2.4000	0.274
2.5000	0.256
2.6000	0.215
2.7000	0.199
2.8000	0.179
2.9000	0.150
3.0000	0.134
3.1000	0.110
3.2000	0.092
3.3000	0.079
3.4000	0.061
3.5000	0.046
3.6000	0.034
3.7000	0.024
3.8000	0.015
3.9000	-0.026
4.0000	0.007
4.1000	-0.013
4.2000	-0.022
4.3000	-0.016
4.4000	-0.005
4.5000	-0.038
4.6000	-0.042
4.7000	-0.061
4.8000	-0.023
4.9000	-0.065
5.0000	-0.076
5.1000	-0.118
5.2000	-0.067
5.3000	-0.096
5.4000	-0.119
5.5000	-0.186
5.6000	-0.132
5.7000	-0.140
5.8000	-0.162
5.9000	-0.253
6.0000	-0.219
6.1000	-0.199
6.2000	-0.209
6.3000	-0.306
6.4000	-0.293
6.5000	-0.265
6.6000	-0.249
6.7000	-0.342
6.8000	-0.360
6.9000	-0.328
7.0000	-0.278
7.1000	-0.366
7.2000	-0.390
7.3000	-0.372
7.4000	-0.302
7.5000	-0.364
7.6000	-0.396
7.7000	-0.388
7.8000	-0.311
7.9000	-0.344
8.0000	-0.368
8.1000	-0.382
8.2000	-0.300
8.3000	-0.313
8.4000	-0.327
8.5000	-0.350
8.6000	-0.270
8.7000	-0.262
8.8000	-0.269
8.9000	-0.282
9.0000	-0.228
9.1000	-0.202
9.2000	-0.199
9.3000	-0.213
9.4000	-0.172
9.5000	-0.144
9.6000	-0.136
9.7000	-0.141
9.8000	-0.117
9.9000	-0.093
10.0000	-0.080
10.1000	-0.083
10.2000	-0.068
10.3000	-0.051
10.4000	-0.041
10.5000	-0.040
10.6000	-0.031
10.7000	-0.022
10.8000	-0.015
10.9000	-0.013
11.0000	-0.009
11.1000	-0.004
11.2000	-0.001
11.3000	7.324E-4
11.4000	0.004
11.5000	0.004
11.6000	0.003
11.7000	0.005
11.8000	0.006
11.9000	0.005
12.0000	0.003
12.1000	0.003
12.2000	0.004
12.3000	0.004
12.4000	-6.104E-5
12.5000	5.493E-4
12.6000	0.002
12.7000	3.052E-4
12.8000	-0.003
12.9000	-0.002
13.0000	-4.273E-4
13.1000	-4.273E-4
13.2000	-0.002
13.3000	-0.001
13.4000	4.273E-4
13.5000	0.003
13.6000	0.004
13.7000	0.006
13.8000	0.009
13.9000	0.012
14.0000	0.017
14.1000	0.022
14.2000	0.026
14.3000	0.030
14.4000	0.039
14.5000	0.047
14.6000	0.054
14.7000	0.057
14.8000	0.069
14.9000	0.083
15.0000	0.088
15.1000	0.094
15.2000	0.106
15.3000	0.122
15.4000	0.132
15.5000	0.135
15.6000	0.146
15.7000	0.167
15.8000	0.176
15.9000	0.178
16.0000	0.184
16.1000	0.207
16.2000	0.218
16.3000	0.212
16.4000	0.218
16.5000	0.238
16.6000	0.246
16.7000	0.242
16.8000	0.239
16.9000	0.255
17.0000	0.265
17.1000	0.260
17.2000	0.258
17.3000	0.258
17.4000	0.269
17.5000	0.261
17.6000	0.250
17.7000	0.258
17.8000	0.267
17.9000	0.257
18.0000	0.246
18.1000	0.241
18.2000	0.250
18.3000	0.239
18.4000	0.226
18.5000	0.219
18.6000	0.221
18.7000	0.215
18.8000	0.203
18.9000	0.188
19.0000	0.192
19.1000	0.188
19.2000	0.170
19.3000	0.161
19.4000	0.161
19.5000	0.154
19.6000	0.141
19.7000	0.128
19.8000	0.125
19.9000	0.121
20.0000	0.109
20.1000	0.099
20.2000	0.094
20.3000	0.090
20.4000	0.081
20.5000	0.069
20.6000	0.065
20.7000	0.061
20.8000	0.053
20.9000	0.043
21.0000	0.038
21.1000	0.035
21.2000	0.029
21.3000	0.017
21.4000	0.014
21.5000	0.011
21.6000	0.006
21.7000	-0.007
21.8000	-0.010
21.9000	-0.013
22.0000	-0.019
22.1000	-0.029
22.2000	-0.034
22.3000	-0.035
22.4000	-0.043
22.5000	-0.050
22.6000	-0.060
22.7000	-0.064
22.8000	-0.067
22.9000	-0.076
23.0000	-0.085
23.1000	-0.087
23.2000	-0.092
23.3000	-0.101
23.4000	-0.112
23.5000	-0.113
23.6000	-0.114
23.7000	-0.128
23.8000	-0.135
23.9000	-0.134
24.0000	-0.139
24.1000	-0.149
24.2000	-0.154
24.3000	-0.158
24.4000	-0.161
24.5000	-0.166
24.6000	-0.174
24.7000	-0.177
24.8000	-0.179
24.9000	-0.181
25.0000	-0.189
25.1000	-0.190
25.2000	-0.187
25.3000	-0.189
25.4000	-0.200
25.5000	-0.200
25.6000	-0.189
25.7000	-0.194
25.8000	-0.200
25.9000	-0.192
26.0000	-0.195
26.1000	-0.195
26.2000	-0.192
26.3000	-0.190
26.4000	-0.190
26.5000	-0.186
26.6000	-0.185
26.7000	-0.178
26.8000	-0.178
26.9000	-0.170
27.0000	-0.169
27.1000	-0.171
27.2000	-0.155
27.3000	-0.160
27.4000	-0.151
27.5000	-0.147
27.6000	-0.146
27.7000	-0.132
27.8000	-0.135
27.9000	-0.128
28.0000	-0.119
28.1000	-0.115
28.2000	-0.106
28.3000	-0.109
28.4000	-0.102
28.5000	-0.091
28.6000	-0.093
28.7000	-0.084
28.8000	-0.073
28.9000	-0.069
29.0000	-0.067
29.1000	-0.065
29.2000	-0.058
29.3000	-0.053
29.4000	-0.050
29.5000	-0.044
29.6000	-0.042
29.7000	-0.038
29.8000	-0.034
29.9000	-0.030
30.0000	-0.026
30.1000	-0.025
30.2000	-0.017
30.3000	-0.017
30.4000	-0.017
30.5000	-0.009
30.6000	-0.007
30.7000	-0.006
30.8000	-0.003
30.9000	-4.273E-4
31.0000	0.005
31.1000	0.007
31.2000	0.009
31.3000	0.015
31.4000	0.017
31.5000	0.016
31.6000	0.025
31.7000	0.026
31.8000	0.028
31.9000	0.031
32.0000	0.035
32.1000	0.040
32.2000	0.042
32.3000	0.044
32.4000	0.050
32.5000	0.053
32.6000	0.055
32.7000	0.058
32.8000	0.063
32.9000	0.067
33.0000	0.070
33.1000	0.072
33.2000	0.078
33.3000	0.080
33.4000	0.083
33.5000	0.085
33.6000	0.087
33.7000	0.092
33.8000	0.094
33.9000	0.095
34.0000	0.098
34.1000	0.102
34.2000	0.101
34.3000	0.107
34.4000	0.105
34.5000	0.105
34.6000	0.112
34.7000	0.110
34.8000	0.109
34.9000	0.111
35.0000	0.113
35.1000	0.114
35.2000	0.108
35.3000	0.115
35.4000	0.115
35.5000	0.110
35.6000	0.113
35.7000	0.112
35.8000	0.105
35.9000	0.109
36.0000	0.108
36.1000	0.104
36.2000	0.102
36.3000	0.100
36.4000	0.101
36.5000	0.093
36.6000	0.092
36.7000	0.093
36.8000	0.086
36.9000	0.083
37.0000	0.084
37.1000	0.079
37.2000	0.074
37.3000	0.073
