Voltage, ChA, Run #1
Time ( s )	Voltage ( V )
0.0000	-0.009
0.1000	-0.014
0.2000	-0.017
0.3000	-0.007
0.4000	-0.002
0.5000	-0.019
0.6000	-0.001
0.7000	-0.004
0.8000	-0.009
0.9000	0.006
1.0000	0.002
1.1000	-0.008
1.2000	0.010
1.3000	0.005
1.4000	-0.002
1.5000	0.015
1.6000	0.010
1.7000	0.001
1.8000	0.012
1.9000	0.014
2.0000	0.012
2.1000	0.008
2.2000	0.024
2.3000	0.020
2.4000	0.017
2.5000	0.017
2.6000	0.039
2.7000	0.006
2.8000	0.019
2.9000	0.048
3.0000	0.013
3.1000	0.027
3.2000	0.057
3.3000	0.017
3.4000	0.047
3.5000	0.041
3.6000	0.016
3.7000	0.020
3.8000	0.027
3.9000	0.046
4.0000	0.033
4.1000	0.073
4.2000	0.080
4.3000	0.092
4.4000	0.099
4.5000	0.072
4.6000	0.112
4.7000	0.130
4.8000	0.028
4.9000	0.085
5.0000	0.164
5.1000	0.031
5.2000	0.079
5.3000	0.174
5.4000	0.013
5.5000	0.020
5.6000	0.122
5.7000	0.027
5.8000	0.048
5.9000	0.102
6.0000	0.013
6.1000	0.002
6.2000	0.091
6.3000	-0.031
6.4000	-0.008
6.5000	0.055
6.6000	-0.029
6.7000	-0.020
6.8000	-0.014
6.9000	0.002
7.0000	-0.038
7.1000	-0.129
7.2000	0.002
7.3000	0.026
7.4000	-0.160
7.5000	-0.090
7.6000	-0.022
7.7000	-0.122
7.8000	-0.102
7.9000	-0.076
8.0000	-0.123
8.1000	-0.124
8.2000	-0.093
8.3000	-0.101
8.4000	-0.126
8.5000	-0.105
8.6000	-0.124
8.7000	-0.082
8.8000	-0.137
8.9000	-0.102
9.0000	-0.103
9.1000	-0.111
9.2000	-0.095
9.3000	-0.090
9.4000	-0.090
9.5000	-0.086
9.6000	-0.079
9.7000	-0.088
9.8000	-0.062
9.9000	-0.067
10.0000	-0.068
10.1000	-0.045
10.2000	-0.052
10.3000	-0.048
10.4000	-0.036
10.5000	-0.039
10.6000	-0.033
10.7000	-0.023
10.8000	-0.023
10.9000	-0.019
11.0000	-0.013
11.1000	-0.011
11.2000	-0.005
11.3000	-0.009
11.4000	0.003
11.5000	0.006
11.6000	0.010
11.7000	0.007
11.8000	0.016
11.9000	0.019
12.0000	0.023
12.1000	0.027
12.2000	0.032
12.3000	0.038
12.4000	0.037
12.5000	0.043
12.6000	0.053
12.7000	0.047
12.8000	0.053
12.9000	0.074
13.0000	0.061
13.1000	0.063
13.2000	0.065
13.3000	0.079
13.4000	0.068
13.5000	0.081
13.6000	0.083
13.7000	0.078
13.8000	0.078
13.9000	0.085
14.0000	0.073
14.1000	0.083
14.2000	0.068
14.3000	0.079
14.4000	0.073
14.5000	0.072
14.6000	0.056
14.7000	0.067
14.8000	0.058
14.9000	0.049
15.0000	0.063
15.1000	0.031
15.2000	0.049
15.3000	0.022
15.4000	0.033
15.5000	0.011
15.6000	0.021
15.7000	-0.004
15.8000	0.005
15.9000	-0.013
16.0000	-0.005
16.1000	-0.029
16.2000	-0.020
16.3000	-0.019
16.4000	-0.055
16.5000	-0.037
16.6000	-0.026
16.7000	-0.064
16.8000	-0.047
16.9000	-0.045
17.0000	-0.071
17.1000	-0.057
17.2000	-0.060
17.3000	-0.068
17.4000	-0.069
17.5000	-0.064
17.6000	-0.069
17.7000	-0.065
17.8000	-0.074
17.9000	-0.066
18.0000	-0.063
18.1000	-0.070
18.2000	-0.061
18.3000	-0.060
18.4000	-0.061
18.5000	-0.062
18.6000	-0.051
18.7000	-0.052
18.8000	-0.052
18.9000	-0.047
19.0000	-0.039
19.1000	-0.044
19.2000	-0.037
19.3000	-0.032
19.4000	-0.034
19.5000	-0.027
19.6000	-0.018
19.7000	-0.027
19.8000	-0.021
19.9000	-0.009
20.0000	-0.013
20.1000	-0.012
20.2000	0.002
20.3000	-3.052E-4
20.4000	-0.004
20.5000	0.002
20.6000	0.008
20.7000	0.008
20.8000	0.010
20.9000	0.022
21.0000	0.021
21.1000	0.016
21.2000	0.031
21.3000	0.031
21.4000	0.025
21.5000	0.036
21.6000	0.034
21.7000	0.034
21.8000	0.046
21.9000	0.038
22.0000	0.037
22.1000	0.054
22.2000	0.042
22.3000	0.046
22.4000	0.056
22.5000	0.043
22.6000	0.052
22.7000	0.058
22.8000	0.045
22.9000	0.049
23.0000	0.059
23.1000	0.042
23.2000	0.051
23.3000	0.054
23.4000	0.037
23.5000	0.045
23.6000	0.049
23.7000	0.032
23.8000	0.035
23.9000	0.039
24.0000	0.021
24.1000	0.021
24.2000	0.028
24.3000	0.009
24.4000	0.018
24.5000	0.005
24.6000	0.007
24.7000	0.010
24.8000	-0.007
24.9000	-0.001
25.0000	-0.015
25.1000	-0.005
25.2000	-0.016
25.3000	-0.020
25.4000	-0.024
25.5000	-0.017
25.6000	-0.042
25.7000	-0.010
25.8000	-0.042
25.9000	-0.032
26.0000	-0.042
26.1000	-0.026
26.2000	-0.065
26.3000	-0.016
26.4000	-0.065
26.5000	-0.024
26.6000	-0.058
26.7000	-0.030
26.8000	-0.063
26.9000	-0.026
27.0000	-0.056
27.1000	-0.036
27.2000	-0.056
27.3000	-0.020
27.4000	-0.060
27.5000	-0.028
27.6000	-0.044
27.7000	-0.023
27.8000	-0.047
27.9000	-0.017
28.0000	-0.039
28.1000	-0.022
28.2000	-0.037
28.3000	-0.004
28.4000	-0.038
28.5000	-0.008
28.6000	-0.024
28.7000	-0.011
28.8000	-0.021
28.9000	0.006
29.0000	-0.023
29.1000	0.008
29.2000	-0.013
29.3000	0.005
29.4000	-0.005
29.5000	0.018
29.6000	-0.009
29.7000	0.019
29.8000	0.002
29.9000	0.024
30.0000	0.005
30.1000	0.025
30.2000	0.005
30.3000	0.035
30.4000	0.012
30.5000	0.033
30.6000	0.013
30.7000	0.038
30.8000	0.018
30.9000	0.029
31.0000	0.036
31.1000	0.031
31.2000	0.034
31.3000	0.034
31.4000	0.029
31.5000	0.036
31.6000	0.030
31.7000	0.036
31.8000	0.028
31.9000	0.045
32.0000	0.023
32.1000	0.036
32.2000	0.024
32.3000	0.029
32.4000	0.029
32.5000	0.026
32.6000	0.028
32.7000	0.016
32.8000	0.040
32.9000	-0.003
33.0000	0.034
33.1000	0.002
33.2000	0.013
33.3000	-0.001
33.4000	0.008
33.5000	-0.006
33.6000	0.004
33.7000	-4.273E-4
33.8000	-0.008
33.9000	6.714E-4
34.0000	-0.013
34.1000	-0.011
34.2000	-0.006
34.3000	-0.021
34.4000	-0.005
34.5000	-0.031
34.6000	-6.104E-5
34.7000	-0.047
34.8000	0.008
34.9000	-0.049
35.0000	-0.001
35.1000	-0.052
35.2000	-0.004
35.3000	-0.055
35.4000	-0.012
35.5000	-0.046
35.6000	-0.016
35.7000	-0.048
35.8000	-0.016
35.9000	-0.035
36.0000	-0.030
36.1000	-0.027
36.2000	-0.028
36.3000	-0.024
36.4000	-0.024
36.5000	-0.027
36.6000	-0.026
36.7000	-0.025
36.8000	-0.027
36.9000	-0.010
37.0000	-0.016
37.1000	-0.035
37.2000	0.002
37.3000	-0.020
37.4000	-0.013
37.5000	-0.015
37.6000	6.104E-5
37.7000	-0.019
37.8000	-0.010
37.9000	0.005
38.0000	-0.012
38.1000	0.009
38.2000	-0.006
38.3000	0.013
38.4000	-0.007
38.5000	0.022
38.6000	-0.003
38.7000	0.014
38.8000	0.011
38.9000	0.013
39.0000	0.013
39.1000	0.013
39.2000	0.030
39.3000	0.005
39.4000	0.031
39.5000	0.015
39.6000	0.018
39.7000	0.024
39.8000	0.034
39.9000	0.015
40.0000	0.024
40.1000	0.030
40.2000	0.026
40.3000	0.025
40.4000	0.024
40.5000	0.021
40.6000	0.028
40.7000	0.022
40.8000	0.020
40.9000	0.032
41.0000	0.020
41.1000	0.014
41.2000	0.036
41.3000	0.012
41.4000	0.008
41.5000	0.023
41.6000	0.005
41.7000	0.023
41.8000	-6.714E-4
41.9000	0.022
42.0000	-0.013
42.1000	0.020
42.2000	-0.001
42.3000	3.662E-4
42.4000	-0.003
42.5000	-0.006
42.6000	0.007
42.7000	-0.016
42.8000	0.007
42.9000	-0.020
43.0000	0.005
43.1000	-0.028
43.2000	-0.005
43.3000	-0.013
43.4000	-0.021
43.5000	-0.015
43.6000	-0.016
43.7000	-0.016
43.8000	-0.028
43.9000	-0.004
44.0000	-0.038
44.1000	-0.008
44.2000	-0.030
44.3000	-0.016
44.4000	-0.033
44.5000	-0.007
44.6000	-0.021
44.7000	-0.021
44.8000	-0.015
44.9000	-0.017
45.0000	-0.005
45.1000	-0.032
45.2000	-0.003
45.3000	-0.013
45.4000	-0.023
45.5000	-0.015
45.6000	-0.003
45.7000	-0.025
45.8000	-0.007
45.9000	-0.001
46.0000	-0.027
46.1000	0.008
46.2000	-0.008
46.3000	-0.010
46.4000	-0.010
46.5000	0.023
46.6000	-0.038
46.7000	0.010
46.8000	0.009
46.9000	-0.012
47.0000	0.007
47.1000	0.006
47.2000	-0.001
47.3000	-0.004
47.4000	0.030
47.5000	-0.009
47.6000	0.018
47.7000	-0.003
47.8000	0.007
47.9000	0.010
48.0000	0.013
48.1000	0.004
48.2000	0.015
48.3000	0.007
48.4000	0.008
48.5000	0.024
48.6000	-0.003
48.7000	0.027
48.8000	0.007
48.9000	0.021
49.0000	0.008
49.1000	0.018
49.2000	0.012
49.3000	0.016
49.4000	0.005
49.5000	0.012
49.6000	0.014
49.7000	0.002
49.8000	0.023
49.9000	0.003
50.0000	0.017
50.1000	-0.008
50.2000	0.011
50.3000	0.015
50.4000	-0.001
50.5000	0.015
50.6000	0.009
50.7000	-0.005
50.8000	0.015
50.9000	-0.004
51.0000	-4.273E-4
51.1000	0.008
51.2000	-0.010
51.3000	-0.003
51.4000	0.001
51.5000	-0.003
51.6000	-0.005
51.7000	0.002
51.8000	-0.007
51.9000	-0.013
52.0000	-3.052E-4
52.1000	-0.009
52.2000	-0.018
52.3000	-0.001
52.4000	-0.016
52.5000	-0.022
52.6000	-0.004
52.7000	-0.013
52.8000	-0.022
52.9000	-0.006
53.0000	-0.017
53.1000	-0.015
53.2000	-0.007
53.3000	-0.026
53.4000	-0.006
53.5000	-0.021
53.6000	-0.009
53.7000	-0.018
53.8000	-0.020
53.9000	-0.005
54.0000	-6.714E-4
54.1000	-0.015
54.2000	-0.008
54.3000	-0.006
54.4000	-0.015
54.5000	-0.022
54.6000	1.221E-4
54.7000	0.006
54.8000	-0.024
54.9000	-0.003
55.0000	-1.831E-4
55.1000	-0.019
55.2000	-0.006
55.3000	-6.104E-5
55.4000	-0.014
55.5000	0.006
55.6000	-4.883E-4
55.7000	-0.005
55.8000	-0.010
55.9000	-0.001
56.0000	0.009
56.1000	-0.010
56.2000	0.007
56.3000	0.007
56.4000	0.007
56.5000	-0.013
56.6000	0.023
56.7000	-0.002
56.8000	0.006
56.9000	-0.001
57.0000	0.038
57.1000	-0.016
57.2000	0.009
57.3000	0.026
57.4000	0.005
57.5000	0.008
57.6000	0.031
57.7000	0.008
57.8000	0.004
57.9000	0.036
58.0000	-0.007
58.1000	0.027
58.2000	0.009
58.3000	0.011
58.4000	9.766E-4
58.5000	0.037
58.6000	-0.003
58.7000	0.021
58.8000	-6.714E-4
58.9000	0.012
59.0000	-0.001
59.1000	0.021
59.2000	8.545E-4
59.3000	0.004
59.4000	0.014
59.5000	-0.005
59.6000	0.019
59.7000	-0.005
59.8000	0.013
59.9000	-0.011
60.0000	0.016
60.1000	-0.006
60.2000	-0.002
60.3000	-0.003
60.4000	-0.001
60.5000	-0.010
60.6000	-0.001
60.7000	-0.006
60.8000	-0.018
60.9000	0.007
61.0000	-0.018
61.1000	0.005
61.2000	-0.022
61.3000	2.441E-4
61.4000	-0.012
61.5000	-0.008
61.6000	-0.021
61.7000	-0.004
