Voltage, ChA, Run #3
Time ( s )	Voltage ( V )
0.0000	0.132
0.1000	0.114
0.2000	0.070
0.3000	0.057
0.4000	0.065
0.5000	0.054
0.6000	0.040
0.7000	0.016
0.8000	-0.017
0.9000	-0.003
1.0000	-0.005
1.1000	-0.035
1.2000	-0.053
1.3000	-0.068
1.4000	-0.072
1.5000	-0.074
1.6000	-0.090
1.7000	-0.117
1.8000	-0.128
1.9000	-0.143
2.0000	-0.152
2.1000	-0.104
2.2000	-0.160
2.3000	-0.194
2.4000	-0.174
2.5000	-0.163
2.6000	-0.206
2.7000	-0.208
2.8000	-0.202
2.9000	-0.234
3.0000	-0.213
3.1000	-0.185
3.2000	-0.233
3.3000	-0.242
3.4000	-0.188
3.5000	-0.216
3.6000	-0.212
3.7000	-0.210
3.8000	-0.150
3.9000	-0.148
4.0000	-0.117
4.1000	-0.077
4.2000	-0.117
4.3000	-0.052
4.4000	8.545E-4
4.5000	-0.032
4.6000	-0.009
4.7000	0.004
4.8000	-0.043
4.9000	0.012
5.0000	0.066
5.1000	0.005
5.2000	0.005
5.3000	0.036
5.4000	0.020
5.5000	0.066
5.6000	0.097
5.7000	0.026
5.8000	0.064
5.9000	0.115
6.0000	0.072
6.1000	0.047
6.2000	0.113
6.3000	0.081
6.4000	0.089
6.5000	0.115
6.6000	0.082
6.7000	0.101
6.8000	0.093
6.9000	0.096
7.0000	0.126
7.1000	0.098
7.2000	0.090
7.3000	0.110
7.4000	0.100
7.5000	0.103
7.6000	0.100
7.7000	0.081
7.8000	0.091
7.9000	0.101
8.0000	0.083
8.1000	0.076
8.2000	0.080
8.3000	0.070
8.4000	0.067
8.5000	0.075
8.6000	0.052
8.7000	0.045
8.8000	0.056
8.9000	0.042
9.0000	0.033
9.1000	0.030
9.2000	0.018
9.3000	0.014
9.4000	0.015
9.5000	-0.001
9.6000	-0.008
9.7000	-0.009
9.8000	-0.008
9.9000	-0.026
10.0000	-0.018
10.1000	-0.037
10.2000	-0.037
10.3000	-0.036
10.4000	-0.041
10.5000	-0.050
10.6000	-0.052
10.7000	-0.058
10.8000	-0.055
10.9000	-0.064
11.0000	-0.066
11.1000	-0.073
11.2000	-0.068
11.3000	-0.069
11.4000	-0.079
11.5000	-0.069
11.6000	-0.079
11.7000	-0.077
11.8000	-0.072
11.9000	-0.071
12.0000	-0.079
12.1000	-0.069
12.2000	-0.076
12.3000	-0.066
12.4000	-0.064
12.5000	-0.062
12.6000	-0.064
12.7000	-0.059
12.8000	-0.056
12.9000	-0.044
13.0000	-0.049
13.1000	-0.044
13.2000	-0.038
13.3000	-0.034
13.4000	-0.028
13.5000	-0.028
13.6000	-0.031
13.7000	-0.014
13.8000	-0.012
13.9000	-0.012
14.0000	-0.007
14.1000	-6.714E-4
14.2000	0.002
14.3000	0.002
14.4000	0.015
14.5000	0.016
14.6000	0.011
14.7000	0.026
14.8000	0.028
14.9000	0.024
15.0000	0.036
15.1000	0.034
15.2000	0.032
15.3000	0.045
15.4000	0.042
15.5000	0.040
15.6000	0.051
15.7000	0.045
15.8000	0.051
15.9000	0.048
16.0000	0.053
16.1000	0.052
16.2000	0.048
16.3000	0.054
16.4000	0.044
16.5000	0.053
16.6000	0.050
16.7000	0.051
16.8000	0.048
16.9000	0.042
17.0000	0.047
17.1000	0.046
17.2000	0.040
17.3000	0.040
17.4000	0.042
17.5000	0.034
17.6000	0.027
17.7000	0.036
17.8000	0.026
17.9000	0.018
18.0000	0.025
18.1000	0.010
18.2000	0.019
18.3000	0.011
18.4000	-0.002
18.5000	0.010
18.6000	3.052E-4
18.7000	7.324E-4
18.8000	-0.005
18.9000	-0.007
19.0000	-0.008
19.1000	-0.012
19.2000	-0.012
19.3000	-0.020
19.4000	-0.021
19.5000	-0.024
19.6000	-0.028
19.7000	-0.022
19.8000	-0.031
19.9000	-0.030
20.0000	-0.037
20.1000	-0.035
20.2000	-0.032
20.3000	-0.038
20.4000	-0.040
20.5000	-0.039
20.6000	-0.034
20.7000	-0.039
20.8000	-0.043
20.9000	-0.038
21.0000	-0.037
21.1000	-0.037
21.2000	-0.039
21.3000	-0.033
21.4000	-0.040
21.5000	-0.033
21.6000	-0.035
21.7000	-0.033
21.8000	-0.026
21.9000	-0.024
22.0000	-0.032
22.1000	-0.025
22.2000	-0.015
22.3000	-0.026
22.4000	-0.019
22.5000	-0.019
22.6000	-0.018
22.7000	-0.001
22.8000	-0.008
22.9000	-0.014
23.0000	-0.003
23.1000	1.831E-4
23.2000	1.831E-4
23.3000	-0.003
23.4000	0.007
23.5000	0.003
23.6000	0.013
23.7000	0.011
23.8000	0.011
23.9000	0.019
24.0000	0.019
24.1000	0.019
24.2000	0.020
24.3000	0.017
24.4000	0.024
24.5000	0.022
24.6000	0.021
24.7000	0.030
24.8000	0.026
24.9000	0.018
25.0000	0.024
25.1000	0.036
25.2000	0.020
25.3000	0.028
25.4000	0.027
25.5000	0.023
25.6000	0.020
25.7000	0.032
25.8000	0.022
25.9000	0.024
26.0000	0.020
26.1000	0.022
26.2000	0.021
26.3000	0.017
26.4000	0.021
26.5000	0.007
26.6000	0.013
26.7000	0.013
26.8000	0.010
26.9000	0.003
27.0000	0.013
27.1000	0.006
27.2000	0.006
27.3000	0.004
27.4000	0.004
27.5000	9.766E-4
27.6000	0.003
27.7000	-0.003
27.8000	-0.004
27.9000	-0.006
28.0000	-0.003
28.1000	-0.012
28.2000	-0.011
28.3000	-0.008
28.4000	-0.018
28.5000	-0.012
28.6000	-0.019
28.7000	-0.015
28.8000	-0.024
28.9000	-0.013
29.0000	-0.016
29.1000	-0.021
29.2000	-0.020
29.3000	-0.019
29.4000	-0.028
29.5000	-0.019
29.6000	-0.020
29.7000	-0.026
29.8000	-0.022
29.9000	-0.019
30.0000	-0.027
30.1000	-0.019
30.2000	-0.016
30.3000	-0.022
30.4000	-0.023
30.5000	-0.015
30.6000	-0.023
30.7000	-0.019
30.8000	-0.011
30.9000	-0.017
31.0000	-0.016
31.1000	-0.012
31.2000	-0.011
31.3000	-0.010
31.4000	-0.011
31.5000	-0.010
31.6000	-0.005
31.7000	-0.009
31.8000	0.002
31.9000	-0.007
32.0000	-0.006
32.1000	0.004
32.2000	-6.104E-5
32.3000	-0.003
32.4000	0.001
32.5000	0.008
32.6000	-5.493E-4
32.7000	0.003
32.8000	0.013
32.9000	2.441E-4
33.0000	0.011
33.1000	0.008
33.2000	0.011
33.3000	0.007
33.4000	0.018
33.5000	0.011
33.6000	0.014
33.7000	0.013
33.8000	0.014
33.9000	0.018
34.0000	0.013
34.1000	0.017
34.2000	0.011
34.3000	0.009
34.4000	0.011
34.5000	0.018
34.6000	0.008
34.7000	0.011
34.8000	0.013
34.9000	0.012
35.0000	0.007
35.1000	0.012
35.2000	0.010
35.3000	0.004
35.4000	0.011
35.5000	0.003
35.6000	0.007
35.7000	0.010
35.8000	0.004
35.9000	0.005
36.0000	0.007
36.1000	-8.545E-4
36.2000	0.003
36.3000	0.008
36.4000	-0.003
36.5000	1.831E-4
36.6000	0.004
