Voltage, ChA, Run #12
Time ( s )	Voltage ( V )
0.0000	-0.008
0.1000	-0.006
0.2000	0.007
0.3000	-0.011
0.4000	0.002
0.5000	0.004
0.6000	-0.007
0.7000	0.005
0.8000	0.004
0.9000	-0.007
1.0000	0.003
1.1000	0.001
1.2000	-0.007
1.3000	0.004
1.4000	1.831E-4
1.5000	-0.007
1.6000	0.006
1.7000	-0.003
1.8000	-0.003
1.9000	0.003
2.0000	-0.002
2.1000	-0.003
2.2000	0.001
2.3000	0.002
2.4000	-0.003
2.5000	0.004
2.6000	-0.001
2.7000	0.001
2.8000	-3.052E-4
2.9000	-0.001
3.0000	-4.883E-4
3.1000	0.001
3.2000	-0.003
3.3000	5.493E-4
3.4000	-0.005
3.5000	-0.003
3.6000	0.003
3.7000	0.028
3.8000	0.055
3.9000	0.092
4.0000	0.124
4.1000	0.151
4.2000	0.209
4.3000	0.270
4.4000	0.290
4.5000	0.337
4.6000	0.347
4.7000	0.306
4.8000	0.241
4.9000	0.194
5.0000	0.157
5.1000	0.116
5.2000	0.079
5.3000	0.057
5.4000	0.035
5.5000	0.016
5.6000	4.883E-4
5.7000	-0.011
5.8000	-0.023
5.9000	-0.029
6.0000	-0.036
6.1000	-0.046
6.2000	-0.046
6.3000	-0.047
6.4000	-0.058
6.5000	-0.052
6.6000	-0.061
6.7000	-0.049
6.8000	-0.060
6.9000	-0.057
7.0000	-0.053
7.1000	-0.055
7.2000	-0.064
7.3000	-0.050
7.4000	-0.053
7.5000	-0.059
7.6000	-0.048
7.7000	-0.055
7.8000	-0.058
7.9000	-0.041
8.0000	-0.049
8.1000	-0.056
8.2000	-0.044
8.3000	-0.047
8.4000	-0.048
8.5000	-0.043
8.6000	-0.045
8.7000	-0.044
8.8000	-0.041
8.9000	-0.038
9.0000	-0.044
9.1000	-0.033
9.2000	-0.037
9.3000	-0.042
9.4000	-0.030
9.5000	-0.032
9.6000	-0.040
9.7000	-0.034
9.8000	-0.026
9.9000	-0.036
10.0000	-0.030
10.1000	-0.032
10.2000	-0.029
10.3000	-0.036
10.4000	-0.023
10.5000	-0.030
10.6000	-0.030
10.7000	-0.019
10.8000	-0.034
10.9000	-0.025
11.0000	-0.025
11.1000	-0.019
11.2000	-0.026
11.3000	-0.018
11.4000	-0.021
11.5000	-0.018
11.6000	-0.026
11.7000	-0.011
11.8000	-0.022
11.9000	-0.017
12.0000	-0.019
12.1000	-0.017
12.2000	-0.020
12.3000	-0.013
12.4000	-0.015
12.5000	-0.020
12.6000	-0.016
12.7000	-0.015
12.8000	-0.016
12.9000	-0.012
13.0000	-0.018
13.1000	-0.012
13.2000	-0.011
13.3000	-0.016
13.4000	-0.011
13.5000	-0.013
13.6000	-0.012
13.7000	-0.012
13.8000	-0.012
13.9000	-0.010
14.0000	-0.010
14.1000	-0.013
14.2000	-0.010
14.3000	-0.015
14.4000	-0.008
14.5000	-0.009
14.6000	-0.010
14.7000	-0.008
14.8000	-0.009
14.9000	-0.010
15.0000	-0.004
15.1000	-0.006
15.2000	-0.011
15.3000	-0.002
15.4000	-0.009
15.5000	-0.009
15.6000	-0.003
15.7000	-0.005
15.8000	-0.010
15.9000	-0.005
16.0000	-0.007
16.1000	-0.008
16.2000	-0.009
16.3000	-2.441E-4
16.4000	-0.017
16.5000	-0.003
16.6000	-0.006
16.7000	-0.012
16.8000	0.002
16.9000	-0.004
17.0000	-0.006
17.1000	-0.003
17.2000	-0.008
17.3000	-0.004
17.4000	-0.005
17.5000	-0.007
17.6000	-6.714E-4
17.7000	-0.006
17.8000	-0.002
17.9000	-0.004
18.0000	-0.003
18.1000	-0.003
18.2000	-0.005
18.3000	-0.003
18.4000	-0.005
18.5000	-0.004
18.6000	0.003
18.7000	-0.008
18.8000	-0.005
18.9000	-0.001
19.0000	-0.005
19.1000	-0.006
19.2000	-0.004
19.3000	-0.003
19.4000	-3.662E-4
19.5000	-0.001
19.6000	-0.010
19.7000	-0.005
19.8000	8.545E-4
19.9000	-0.001
20.0000	-0.007
20.1000	0.004
20.2000	-0.002
