Voltage, ChA, Run #2
Time ( s )	Voltage ( V )
0.0000	0.205
0.1000	0.188
0.2000	0.192
0.3000	0.180
0.4000	0.183
0.5000	0.164
0.6000	0.139
0.7000	0.150
0.8000	0.138
0.9000	0.127
1.0000	0.117
1.1000	0.104
1.2000	0.104
1.3000	0.100
1.4000	0.068
1.5000	0.063
1.6000	0.064
1.7000	0.058
1.8000	0.049
1.9000	0.034
2.0000	0.023
2.1000	0.020
2.2000	0.015
2.3000	0.004
2.4000	-0.015
2.5000	-0.016
2.6000	-0.019
2.7000	-0.026
2.8000	-0.044
2.9000	-0.055
3.0000	-0.051
3.1000	-0.061
3.2000	-0.077
3.3000	-0.085
3.4000	-0.091
3.5000	-0.093
3.6000	-0.103
3.7000	-0.109
3.8000	-0.126
3.9000	-0.128
4.0000	-0.131
4.1000	-0.141
4.2000	-0.154
4.3000	-0.157
4.4000	-0.160
4.5000	-0.165
4.6000	-0.178
4.7000	-0.181
4.8000	-0.184
4.9000	-0.186
5.0000	-0.198
5.1000	-0.204
5.2000	-0.212
5.3000	-0.209
5.4000	-0.207
5.5000	-0.213
5.6000	-0.220
5.7000	-0.212
5.8000	-0.213
5.9000	-0.215
6.0000	-0.221
6.1000	-0.217
6.2000	-0.215
6.3000	-0.207
6.4000	-0.209
6.5000	-0.208
6.6000	-0.203
6.7000	-0.194
6.8000	-0.194
6.9000	-0.191
7.0000	-0.188
7.1000	-0.175
7.2000	-0.167
7.3000	-0.166
7.4000	-0.161
7.5000	-0.154
7.6000	-0.142
7.7000	-0.137
7.8000	-0.129
7.9000	-0.120
8.0000	-0.115
8.1000	-0.106
8.2000	-0.100
8.3000	-0.094
8.4000	-0.087
8.5000	-0.081
8.6000	-0.072
8.7000	-0.072
8.8000	-0.064
8.9000	-0.056
9.0000	-0.052
9.1000	-0.048
9.2000	-0.042
9.3000	-0.039
9.4000	-0.033
9.5000	-0.029
9.6000	-0.025
9.7000	-0.023
9.8000	-0.019
9.9000	-0.015
10.0000	-0.011
10.1000	-0.009
10.2000	-0.007
10.3000	-0.003
10.4000	-1.831E-4
10.5000	0.001
10.6000	0.004
10.7000	0.004
10.8000	0.009
10.9000	0.012
11.0000	0.014
11.1000	0.017
11.2000	0.022
11.3000	0.026
11.4000	0.027
11.5000	0.031
11.6000	0.033
11.7000	0.038
11.8000	0.042
11.9000	0.046
12.0000	0.049
12.1000	0.055
12.2000	0.058
12.3000	0.065
12.4000	0.069
12.5000	0.074
12.6000	0.082
12.7000	0.085
12.8000	0.089
12.9000	0.093
13.0000	0.100
13.1000	0.107
13.2000	0.112
13.3000	0.113
13.4000	0.121
13.5000	0.128
13.6000	0.131
13.7000	0.130
13.8000	0.139
13.9000	0.143
14.0000	0.147
14.1000	0.154
14.2000	0.153
14.3000	0.153
14.4000	0.157
14.5000	0.157
14.6000	0.161
14.7000	0.160
14.8000	0.164
14.9000	0.162
15.0000	0.163
15.1000	0.165
15.2000	0.162
15.3000	0.161
15.4000	0.159
15.5000	0.162
15.6000	0.154
15.7000	0.155
15.8000	0.152
15.9000	0.146
16.0000	0.141
16.1000	0.136
16.2000	0.137
16.3000	0.130
16.4000	0.126
16.5000	0.124
16.6000	0.113
16.7000	0.107
16.8000	0.104
16.9000	0.100
17.0000	0.093
17.1000	0.090
17.2000	0.084
17.3000	0.077
17.4000	0.070
17.5000	0.070
17.6000	0.061
17.7000	0.054
17.8000	0.047
17.9000	0.041
18.0000	0.035
18.1000	0.031
18.2000	0.020
18.3000	0.011
18.4000	0.005
18.5000	0.006
18.6000	-0.003
18.7000	-0.010
18.8000	-0.019
18.9000	-0.020
19.0000	-0.024
19.1000	-0.029
19.2000	-0.037
19.3000	-0.048
19.4000	-0.056
19.5000	-0.057
19.6000	-0.067
19.7000	-0.070
19.8000	-0.074
19.9000	-0.079
20.0000	-0.083
20.1000	-0.093
20.2000	-0.101
20.3000	-0.099
20.4000	-0.103
20.5000	-0.107
20.6000	-0.110
20.7000	-0.111
20.8000	-0.117
20.9000	-0.120
21.0000	-0.121
21.1000	-0.123
21.2000	-0.128
21.3000	-0.126
21.4000	-0.131
21.5000	-0.133
21.6000	-0.135
21.7000	-0.133
21.8000	-0.131
21.9000	-0.135
22.0000	-0.134
22.1000	-0.133
22.2000	-0.132
22.3000	-0.133
22.4000	-0.130
22.5000	-0.130
22.6000	-0.123
22.7000	-0.123
22.8000	-0.125
22.9000	-0.120
23.0000	-0.119
23.1000	-0.114
23.2000	-0.111
23.3000	-0.109
23.4000	-0.108
23.5000	-0.100
23.6000	-0.096
23.7000	-0.094
23.8000	-0.088
