Voltage, ChA, Run #7
Time ( s )	Voltage ( V )
0.0000	0.280
0.1000	0.268
0.2000	0.263
0.3000	0.257
0.4000	0.244
0.5000	0.229
0.6000	0.226
0.7000	0.211
0.8000	0.197
0.9000	0.183
1.0000	0.175
1.1000	0.159
1.2000	0.150
1.3000	0.141
1.4000	0.125
1.5000	0.113
1.6000	0.104
1.7000	0.093
1.8000	0.084
1.9000	0.067
2.0000	0.062
2.1000	0.056
2.2000	0.044
2.3000	0.035
2.4000	0.026
2.5000	0.017
2.6000	0.009
2.7000	-0.003
2.8000	-0.011
2.9000	-0.020
3.0000	-0.028
3.1000	-0.036
3.2000	-0.046
3.3000	-0.056
3.4000	-0.064
3.5000	-0.074
3.6000	-0.082
3.7000	-0.092
3.8000	-0.102
3.9000	-0.111
4.0000	-0.121
4.1000	-0.133
4.2000	-0.143
4.3000	-0.153
4.4000	-0.164
4.5000	-0.175
4.6000	-0.184
4.7000	-0.195
4.8000	-0.207
4.9000	-0.216
5.0000	-0.225
5.1000	-0.234
5.2000	-0.239
5.3000	-0.254
5.4000	-0.254
5.5000	-0.264
5.6000	-0.266
5.7000	-0.270
5.8000	-0.280
5.9000	-0.279
6.0000	-0.281
6.1000	-0.284
6.2000	-0.282
6.3000	-0.285
6.4000	-0.281
6.5000	-0.277
6.6000	-0.276
6.7000	-0.273
6.8000	-0.266
6.9000	-0.261
7.0000	-0.254
7.1000	-0.248
7.2000	-0.237
7.3000	-0.230
7.4000	-0.220
7.5000	-0.208
7.6000	-0.199
7.7000	-0.187
7.8000	-0.175
7.9000	-0.165
8.0000	-0.156
8.1000	-0.142
8.2000	-0.130
8.3000	-0.122
8.4000	-0.111
8.5000	-0.101
8.6000	-0.090
8.7000	-0.083
8.8000	-0.073
8.9000	-0.064
9.0000	-0.058
9.1000	-0.051
9.2000	-0.044
9.3000	-0.038
9.4000	-0.034
9.5000	-0.028
9.6000	-0.023
9.7000	-0.020
9.8000	-0.016
9.9000	-0.013
10.0000	-0.011
10.1000	-0.009
10.2000	-0.006
10.3000	-0.005
10.4000	-0.003
10.5000	-0.001
10.6000	-6.104E-5
10.7000	0.001
10.8000	0.003
10.9000	0.004
11.0000	0.006
11.1000	0.007
11.2000	0.009
11.3000	0.011
11.4000	0.013
11.5000	0.016
11.6000	0.019
11.7000	0.022
11.8000	0.025
11.9000	0.029
12.0000	0.034
12.1000	0.038
12.2000	0.042
12.3000	0.049
12.4000	0.054
12.5000	0.059
12.6000	0.068
12.7000	0.071
12.8000	0.081
12.9000	0.087
13.0000	0.097
13.1000	0.104
13.2000	0.108
13.3000	0.120
13.4000	0.123
13.5000	0.131
13.6000	0.145
13.7000	0.148
13.8000	0.158
13.9000	0.164
14.0000	0.171
14.1000	0.179
14.2000	0.182
14.3000	0.188
14.4000	0.194
14.5000	0.199
14.6000	0.201
14.7000	0.199
14.8000	0.208
14.9000	0.199
15.0000	0.208
15.1000	0.216
15.2000	0.209
15.3000	0.210
15.4000	0.210
15.5000	0.208
15.6000	0.205
15.7000	0.194
15.8000	0.198
15.9000	0.194
16.0000	0.191
16.1000	0.184
16.2000	0.180
16.3000	0.179
16.4000	0.170
16.5000	0.162
16.6000	0.155
16.7000	0.152
16.8000	0.146
16.9000	0.141
17.0000	0.129
17.1000	0.122
17.2000	0.113
17.3000	0.107
17.4000	0.098
17.5000	0.092
17.6000	0.082
17.7000	0.076
17.8000	0.066
17.9000	0.063
18.0000	0.056
18.1000	0.044
18.2000	0.036
18.3000	0.030
18.4000	0.019
18.5000	0.014
18.6000	0.004
18.7000	-0.007
18.8000	-0.013
18.9000	-0.018
19.0000	-0.029
19.1000	-0.034
19.2000	-0.042
19.3000	-0.048
19.4000	-0.059
19.5000	-0.066
19.6000	-0.073
19.7000	-0.079
19.8000	-0.087
19.9000	-0.093
20.0000	-0.102
20.1000	-0.106
20.2000	-0.113
20.3000	-0.117
20.4000	-0.126
20.5000	-0.130
20.6000	-0.134
20.7000	-0.139
20.8000	-0.148
20.9000	-0.146
21.0000	-0.155
21.1000	-0.156
21.2000	-0.161
21.3000	-0.165
21.4000	-0.168
21.5000	-0.170
21.6000	-0.173
21.7000	-0.170
21.8000	-0.175
21.9000	-0.177
22.0000	-0.174
22.1000	-0.177
22.2000	-0.174
22.3000	-0.176
22.4000	-0.174
22.5000	-0.172
22.6000	-0.166
22.7000	-0.167
22.8000	-0.165
22.9000	-0.158
23.0000	-0.154
23.1000	-0.147
23.2000	-0.145
23.3000	-0.140
23.4000	-0.136
23.5000	-0.131
23.6000	-0.126
23.7000	-0.121
23.8000	-0.116
23.9000	-0.111
24.0000	-0.103
24.1000	-0.099
24.2000	-0.092
24.3000	-0.089
24.4000	-0.084
24.5000	-0.075
24.6000	-0.072
24.7000	-0.069
24.8000	-0.062
24.9000	-0.058
25.0000	-0.053
25.1000	-0.047
25.2000	-0.043
25.3000	-0.041
25.4000	-0.035
25.5000	-0.033
25.6000	-0.027
25.7000	-0.023
25.8000	-0.020
25.9000	-0.019
26.0000	-0.010
26.1000	-0.009
26.2000	-0.006
26.3000	-0.004
26.4000	8.545E-4
26.5000	0.005
26.6000	0.007
26.7000	0.010
26.8000	0.015
26.9000	0.018
27.0000	0.021
27.1000	0.023
27.2000	0.029
27.3000	0.032
27.4000	0.037
27.5000	0.039
27.6000	0.041
27.7000	0.042
27.8000	0.052
27.9000	0.051
28.0000	0.053
28.1000	0.061
28.2000	0.065
28.3000	0.067
28.4000	0.072
28.5000	0.075
28.6000	0.079
28.7000	0.081
28.8000	0.087
28.9000	0.089
29.0000	0.090
29.1000	0.096
29.2000	0.100
29.3000	0.105
29.4000	0.106
29.5000	0.111
29.6000	0.115
29.7000	0.113
29.8000	0.117
29.9000	0.117
30.0000	0.124
30.1000	0.121
30.2000	0.125
30.3000	0.126
30.4000	0.126
30.5000	0.126
30.6000	0.129
30.7000	0.124
30.8000	0.122
30.9000	0.124
31.0000	0.124
31.1000	0.120
31.2000	0.123
31.3000	0.119
31.4000	0.117
31.5000	0.115
31.6000	0.111
31.7000	0.111
31.8000	0.104
31.9000	0.102
32.0000	0.099
32.1000	0.092
32.2000	0.093
32.3000	0.088
32.4000	0.086
32.5000	0.070
32.6000	0.075
32.7000	0.074
32.8000	0.064
32.9000	0.057
33.0000	0.059
33.1000	0.050
33.2000	0.046
33.3000	0.040
33.4000	0.037
33.5000	0.024
33.6000	0.025
33.7000	0.021
33.8000	0.012
33.9000	0.008
34.0000	0.007
34.1000	-0.002
34.2000	-0.006
34.3000	-0.012
34.4000	-0.009
34.5000	-0.025
34.6000	-0.022
34.7000	-0.030
34.8000	-0.034
34.9000	-0.037
35.0000	-0.045
35.1000	-0.046
35.2000	-0.051
35.3000	-0.054
35.4000	-0.059
35.5000	-0.063
35.6000	-0.068
35.7000	-0.067
35.8000	-0.072
35.9000	-0.077
36.0000	-0.074
36.1000	-0.079
36.2000	-0.085
36.3000	-0.086
36.4000	-0.086
36.5000	-0.086
36.6000	-0.093
36.7000	-0.092
36.8000	-0.091
36.9000	-0.094
37.0000	-0.094
37.1000	-0.095
37.2000	-0.097
37.3000	-0.093
37.4000	-0.095
37.5000	-0.095
37.6000	-0.096
37.7000	-0.097
37.8000	-0.091
37.9000	-0.091
38.0000	-0.092
38.1000	-0.087
38.2000	-0.086
38.3000	-0.087
38.4000	-0.082
38.5000	-0.080
38.6000	-0.085
