Voltage, ChA, Run #1
Time ( s )	Voltage ( V )
0.0000	0.002
0.1000	0.005
0.2000	0.002
0.3000	0.003
0.4000	9.156E-4
0.5000	0.001
0.6000	-0.002
0.7000	-0.002
0.8000	0.004
0.9000	2.441E-4
1.0000	0.002
1.1000	0.005
1.2000	-6.104E-5
1.3000	0.004
1.4000	9.766E-4
1.5000	6.104E-5
1.6000	-0.001
1.7000	0.003
1.8000	0.002
1.9000	6.104E-5
2.0000	-0.005
2.1000	3.662E-4
2.2000	0.008
2.3000	0.003
2.4000	-0.005
2.5000	-0.001
2.6000	0.004
2.7000	0.002
2.8000	-4.883E-4
2.9000	-1.831E-4
3.0000	0.004
3.1000	0.003
3.2000	-0.001
3.3000	-0.004
3.4000	0.002
3.5000	0.005
3.6000	-0.001
3.7000	-0.006
3.8000	-6.104E-5
3.9000	0.007
4.0000	0.003
4.1000	-0.005
4.2000	-0.005
4.3000	0.002
4.4000	0.006
4.5000	-1.831E-4
4.6000	-0.003
4.7000	8.545E-4
4.8000	0.006
4.9000	3.662E-4
5.0000	-1.831E-4
5.1000	-0.002
5.2000	-4.883E-4
5.3000	9.156E-4
5.4000	0.002
5.5000	-0.002
5.6000	-0.003
5.7000	0.002
5.8000	1.221E-4
5.9000	-0.002
6.0000	-0.005
6.1000	0.003
6.2000	0.006
6.3000	2.441E-4
6.4000	-0.008
6.5000	-0.002
6.6000	0.006
6.7000	0.009
6.8000	-0.004
6.9000	-0.005
7.0000	3.662E-4
7.1000	0.007
7.2000	0.002
7.3000	-0.004
7.4000	-0.003
7.5000	0.002
7.6000	0.002
7.7000	-0.004
7.8000	-0.004
7.9000	0.002
8.0000	0.003
8.1000	-0.002
8.2000	-0.007
8.3000	4.883E-4
8.4000	0.009
8.5000	0.004
8.6000	-0.005
8.7000	-0.010
8.8000	0.002
8.9000	0.005
9.0000	0.003
9.1000	-0.006
9.2000	-0.002
9.3000	-0.003
9.4000	0.003
9.5000	0.001
9.6000	0.002
9.7000	0.002
9.8000	-0.002
9.9000	-0.005
10.0000	-0.005
10.1000	-0.002
10.2000	0.006
10.3000	0.005
10.4000	-9.156E-4
10.5000	-0.004
10.6000	-0.004
10.7000	0.002
10.8000	0.004
10.9000	0.003
11.0000	-3.052E-4
11.1000	-0.003
11.2000	-0.006
11.3000	-0.003
11.4000	0.003
11.5000	0.002
11.6000	-0.001
11.7000	-0.004
11.8000	-0.003
11.9000	0.004
12.0000	0.006
12.1000	0.001
12.2000	-0.006
12.3000	-0.010
12.4000	-4.883E-4
12.5000	0.003
12.6000	0.005
12.7000	-0.005
12.8000	-0.001
12.9000	-0.005
13.0000	-2.441E-4
13.1000	0.003
13.2000	0.004
13.3000	6.104E-5
13.4000	-0.007
13.5000	-0.006
13.6000	8.545E-4
13.7000	0.006
13.8000	0.004
13.9000	-0.002
14.0000	-0.005
14.1000	1.221E-4
14.2000	8.545E-4
14.3000	0.003
14.4000	-0.002
14.5000	-0.007
14.6000	0.001
14.7000	3.662E-4
14.8000	0.001
14.9000	-0.002
15.0000	-6.714E-4
15.1000	-7.324E-4
15.2000	-0.008
15.3000	1.831E-4
15.4000	2.441E-4
15.5000	0.002
15.6000	3.662E-4
15.7000	-0.001
15.8000	-0.002
15.9000	0.001
16.0000	7.935E-4
16.1000	0.002
16.2000	-5.493E-4
16.3000	-1.831E-4
16.4000	-0.007
16.5000	0.002
16.6000	-0.001
16.7000	-9.156E-4
16.8000	-0.001
16.9000	-0.005
17.0000	8.545E-4
17.1000	-0.004
17.2000	0.003
17.3000	0.001
17.4000	-0.003
17.5000	-6.104E-5
17.6000	-7.324E-4
17.7000	0.005
17.8000	0.003
17.9000	-0.003
18.0000	-0.005
18.1000	-0.003
18.2000	0.005
18.3000	0.002
18.4000	-8.545E-4
18.5000	-0.009
18.6000	-0.002
18.7000	-1.221E-4
18.8000	7.324E-4
18.9000	-0.003
19.0000	-0.003
19.1000	-7.935E-4
19.2000	0.002
19.3000	0.006
19.4000	-0.002
19.5000	2.441E-4
19.6000	-0.004
19.7000	-0.003
19.8000	-8.545E-4
19.9000	0.003
20.0000	0.002
20.1000	-0.004
20.2000	0.002
20.3000	-0.003
20.4000	-1.221E-4
20.5000	-0.001
20.6000	-0.002
20.7000	6.104E-5
20.8000	-0.002
20.9000	-0.005
21.0000	-0.001
21.1000	2.441E-4
21.2000	0.001
21.3000	-4.883E-4
21.4000	-0.003
21.5000	-0.005
21.6000	-0.004
21.7000	0.002
21.8000	0.003
21.9000	0.002
22.0000	-0.001
22.1000	-0.006
22.2000	-0.004
22.3000	1.221E-4
22.4000	0.005
22.5000	0.007
22.6000	-0.001
22.7000	-0.012
22.8000	-0.010
22.9000	0.002
23.0000	0.010
23.1000	0.006
23.2000	-0.013
23.3000	-0.006
23.4000	-6.714E-4
23.5000	0.011
23.6000	0.001
23.7000	-0.006
23.8000	0.004
23.9000	-0.003
24.0000	9.156E-4
24.1000	0.002
24.2000	0.003
24.3000	0.001
24.4000	-0.005
24.5000	-0.008
24.6000	-0.004
24.7000	0.009
24.8000	0.006
24.9000	-0.006
25.0000	-0.010
25.1000	-0.002
25.2000	0.002
25.3000	0.006
25.4000	-0.007
25.5000	-0.009
25.6000	0.004
25.7000	0.007
25.8000	0.002
25.9000	-0.007
26.0000	-0.008
26.1000	0.005
26.2000	0.009
26.3000	0.006
26.4000	-0.004
26.5000	-0.008
26.6000	-1.221E-4
26.7000	0.003
26.8000	9.766E-4
26.9000	0.002
27.0000	-0.005
27.1000	6.104E-4
27.2000	-8.545E-4
27.3000	6.714E-4
27.4000	-0.003
27.5000	-0.001
27.6000	0.004
27.7000	-0.003
27.8000	-0.003
27.9000	0.001
28.0000	0.005
28.1000	-0.003
28.2000	-0.006
28.3000	-0.004
28.4000	0.005
28.5000	0.005
28.6000	4.883E-4
28.7000	-0.010
28.8000	-0.007
28.9000	-9.156E-4
29.0000	0.006
29.1000	0.002
29.2000	-0.002
29.3000	-0.007
29.4000	-0.002
29.5000	0.004
29.6000	0.002
29.7000	0.003
29.8000	-0.005
29.9000	-0.005
30.0000	-0.005
30.1000	0.001
30.2000	0.005
30.3000	0.005
30.4000	-0.004
30.5000	-0.007
30.6000	-1.221E-4
30.7000	-6.104E-5
30.8000	0.008
30.9000	0.006
31.0000	-0.010
31.1000	-0.005
31.2000	-0.001
31.3000	7.935E-4
31.4000	0.003
31.5000	-0.003
31.6000	-8.545E-4
31.7000	-0.002
31.8000	-0.002
31.9000	-0.002
32.0000	0.002
32.1000	1.221E-4
32.2000	0.003
32.3000	-0.003
32.4000	-0.003
32.5000	3.052E-4
32.6000	0.003
32.7000	4.883E-4
32.8000	-0.006
32.9000	-0.003
33.0000	0.002
33.1000	1.831E-4
33.2000	0.003
33.3000	-0.005
33.4000	-0.004
33.5000	0.004
33.6000	0.004
33.7000	-0.001
33.8000	-0.004
33.9000	-4.883E-4
34.0000	5.493E-4
34.1000	0.002
34.2000	-0.002
34.3000	-0.003
34.4000	-0.003
34.5000	-0.003
34.6000	-0.001
34.7000	0.004
34.8000	0.002
34.9000	-0.002
35.0000	-0.004
35.1000	-0.005
35.2000	-0.002
35.3000	0.003
35.4000	0.004
35.5000	-0.004
35.6000	-0.003
35.7000	-0.005
35.8000	0.004
35.9000	0.006
36.0000	-0.003
36.1000	-0.006
36.2000	-0.006
36.3000	3.662E-4
36.4000	0.009
36.5000	4.273E-4
36.6000	-0.006
36.7000	-0.004
36.8000	-0.003
36.9000	0.002
37.0000	3.662E-4
37.1000	-0.006
37.2000	-0.003
37.3000	-0.001
37.4000	0.006
37.5000	0.001
37.6000	-0.002
37.7000	-0.001
37.8000	-0.004
37.9000	-0.004
38.0000	-0.001
38.1000	0.003
38.2000	0.003
38.3000	5.493E-4
38.4000	-0.006
38.5000	-0.006
38.6000	-0.002
38.7000	0.007
38.8000	0.001
38.9000	-0.005
39.0000	-0.007
39.1000	-9.766E-4
39.2000	0.003
39.3000	7.324E-4
39.4000	9.156E-4
39.5000	-0.005
39.6000	7.324E-4
39.7000	-0.002
39.8000	-8.545E-4
39.9000	-0.001
40.0000	-0.003
40.1000	0.002
40.2000	-7.324E-4
40.3000	-0.002
40.4000	0.002
40.5000	0.001
40.6000	-8.545E-4
40.7000	-0.003
40.8000	-0.002
