Voltage, ChA, Run #10
Time ( s )	Voltage ( V )
0.0000	0.303
0.1000	0.280
0.2000	0.258
0.3000	0.220
0.4000	0.199
0.5000	0.179
0.6000	0.148
0.7000	0.133
0.8000	0.116
0.9000	0.095
1.0000	0.080
1.1000	0.068
1.2000	0.055
1.3000	0.043
1.4000	0.034
1.5000	0.024
1.6000	0.015
1.7000	0.008
1.8000	6.104E-5
1.9000	-0.008
2.0000	-0.015
2.1000	-0.020
2.2000	-0.026
2.3000	-0.031
2.4000	-0.036
2.5000	-0.043
2.6000	-0.047
2.7000	-0.057
2.8000	-0.064
2.9000	-0.070
3.0000	-0.080
3.1000	-0.089
3.2000	-0.096
3.3000	-0.106
3.4000	-0.117
3.5000	-0.126
3.6000	-0.133
3.7000	-0.144
3.8000	-0.155
3.9000	-0.163
4.0000	-0.172
4.1000	-0.182
4.2000	-0.188
4.3000	-0.198
4.4000	-0.205
4.5000	-0.210
4.6000	-0.213
4.7000	-0.219
4.8000	-0.226
4.9000	-0.227
5.0000	-0.228
5.1000	-0.229
5.2000	-0.230
5.3000	-0.229
5.4000	-0.228
5.5000	-0.223
5.6000	-0.217
5.7000	-0.216
5.8000	-0.210
5.9000	-0.202
6.0000	-0.194
6.1000	-0.190
6.2000	-0.177
6.3000	-0.173
6.4000	-0.159
6.5000	-0.148
6.6000	-0.138
6.7000	-0.129
6.8000	-0.113
6.9000	-0.099
7.0000	-0.091
7.1000	-0.077
7.2000	-0.063
7.3000	-0.048
7.4000	-0.039
7.5000	-0.024
7.6000	-0.012
7.7000	0.001
7.8000	0.014
7.9000	0.025
8.0000	0.035
8.1000	0.034
8.2000	0.035
8.3000	0.030
8.4000	0.026
8.5000	0.015
8.6000	0.003
8.7000	-0.004
8.8000	-0.014
8.9000	-0.025
9.0000	-0.025
9.1000	-0.026
9.2000	-0.026
9.3000	-0.018
9.4000	-0.010
9.5000	-0.003
9.6000	0.007
9.7000	0.016
9.8000	0.023
9.9000	0.025
10.0000	0.026
10.1000	0.029
10.2000	0.016
10.3000	0.013
10.4000	0.007
10.5000	-0.006
10.6000	-0.014
10.7000	-0.015
10.8000	-0.019
10.9000	-0.025
11.0000	-0.019
11.1000	-0.014
11.2000	-0.009
11.3000	7.935E-4
11.4000	0.009
11.5000	0.013
11.6000	0.017
11.7000	0.023
11.8000	0.025
11.9000	0.015
12.0000	0.015
12.1000	0.010
12.2000	0.003
12.3000	-0.006
12.4000	-0.009
12.5000	-0.017
12.6000	-0.018
12.7000	-0.014
12.8000	-0.015
12.9000	-0.012
13.0000	-0.005
13.1000	0.002
13.2000	0.003
13.3000	0.010
13.4000	0.023
13.5000	0.021
13.6000	0.019
13.7000	0.014
13.8000	0.010
13.9000	0.009
14.0000	8.545E-4
14.1000	-0.004
14.2000	-0.011
14.3000	-0.014
14.4000	-0.015
14.5000	-0.015
14.6000	-0.009
14.7000	-0.006
14.8000	-0.002
14.9000	0.007
15.0000	0.009
15.1000	0.013
15.2000	0.016
15.3000	0.017
15.4000	0.015
15.5000	0.010
15.6000	0.005
15.7000	0.005
15.8000	-0.003
15.9000	-0.009
16.0000	-0.010
16.1000	-0.011
16.2000	-0.012
16.3000	-0.006
16.4000	-0.006
16.5000	-0.003
16.6000	0.004
16.7000	0.010
16.8000	0.009
16.9000	0.015
17.0000	0.017
17.1000	0.016
17.2000	0.013
17.3000	0.009
17.4000	0.003
17.5000	6.104E-5
17.6000	-0.003
17.7000	-0.010
17.8000	-0.012
17.9000	-0.012
18.0000	-0.008
18.1000	-0.005
18.2000	-0.005
18.3000	5.493E-4
18.4000	0.007
18.5000	0.010
18.6000	0.016
18.7000	0.010
18.8000	0.016
18.9000	0.012
