Voltage, ChA, Run #63
Time ( s )	Voltage ( V )
0.0000	0.011
0.1000	-0.015
0.2000	-0.017
0.3000	-0.011
0.4000	-0.021
0.5000	-9.156E-4
0.6000	-0.006
0.7000	-0.027
0.8000	-0.011
0.9000	-0.021
1.0000	-0.012
1.1000	-0.004
1.2000	-0.020
1.3000	-0.017
1.4000	-0.005
1.5000	-0.011
1.6000	-0.013
1.7000	-0.016
1.8000	-0.008
1.9000	-0.013
2.0000	-0.005
2.1000	0.019
2.2000	0.181
2.3000	0.252
2.4000	0.273
2.5000	0.255
2.6000	0.258
2.7000	0.250
2.8000	0.233
2.9000	0.225
3.0000	0.224
3.1000	0.201
3.2000	0.196
3.3000	0.196
3.4000	0.170
3.5000	0.168
3.6000	0.162
3.7000	0.133
3.8000	0.141
3.9000	0.119
4.0000	0.109
4.1000	0.110
4.2000	0.092
4.3000	0.079
4.4000	0.074
4.5000	0.053
4.6000	0.052
4.7000	0.044
4.8000	0.034
4.9000	0.028
5.0000	0.013
5.1000	0.007
5.2000	-0.006
5.3000	-0.012
5.4000	-0.002
5.5000	-0.033
5.6000	-0.030
5.7000	-0.037
5.8000	-0.049
5.9000	-0.046
6.0000	-0.068
6.1000	-0.079
6.2000	-0.073
6.3000	-0.086
6.4000	-0.087
6.5000	-0.107
6.6000	-0.113
6.7000	-0.120
6.8000	-0.114
6.9000	-0.132
7.0000	-0.136
7.1000	-0.145
7.2000	-0.154
7.3000	-0.154
7.4000	-0.156
7.5000	-0.164
7.6000	-0.166
7.7000	-0.163
7.8000	-0.173
7.9000	-0.180
8.0000	-0.174
8.1000	-0.180
8.2000	-0.168
8.3000	-0.169
8.4000	-0.175
8.5000	-0.178
8.6000	-0.163
8.7000	-0.167
8.8000	-0.166
8.9000	-0.154
9.0000	-0.171
9.1000	-0.160
9.2000	-0.146
9.3000	-0.152
9.4000	-0.136
9.5000	-0.146
9.6000	-0.134
9.7000	-0.123
9.8000	-0.115
9.9000	-0.102
10.0000	-0.110
10.1000	-0.101
10.2000	-0.085
10.3000	-0.081
10.4000	-0.077
10.5000	-0.077
10.6000	-0.072
10.7000	-0.055
10.8000	-0.047
10.9000	-0.049
11.0000	-0.045
11.1000	-0.038
11.2000	-0.027
11.3000	-0.014
11.4000	-0.013
11.5000	-0.018
11.6000	-0.003
11.7000	0.001
11.8000	0.010
11.9000	0.023
12.0000	0.013
12.1000	0.025
12.2000	0.039
12.3000	0.035
12.4000	0.050
12.5000	0.047
12.6000	0.042
12.7000	0.061
12.8000	0.063
12.9000	0.064
13.0000	0.072
13.1000	0.069
13.2000	0.074
13.3000	0.088
13.4000	0.085
13.5000	0.079
13.6000	0.089
13.7000	0.090
13.8000	0.094
13.9000	0.101
14.0000	0.097
14.1000	0.098
14.2000	0.099
14.3000	0.107
14.4000	0.104
14.5000	0.101
14.6000	0.101
14.7000	0.099
14.8000	0.094
14.9000	0.103
15.0000	0.089
15.1000	0.087
15.2000	0.098
15.3000	0.079
15.4000	0.087
15.5000	0.092
15.6000	0.073
15.7000	0.084
15.8000	0.082
15.9000	0.065
16.0000	0.075
16.1000	0.070
16.2000	0.061
16.3000	0.068
16.4000	0.059
16.5000	0.050
16.6000	0.052
16.7000	0.045
16.8000	0.041
16.9000	0.045
17.0000	0.033
17.1000	0.022
17.2000	0.029
17.3000	0.025
17.4000	0.018
17.5000	0.016
17.6000	0.005
17.7000	-2.441E-4
17.8000	0.004
17.9000	4.883E-4
18.0000	-0.009
18.1000	-0.007
18.2000	-0.015
18.3000	-0.019
18.4000	-0.017
18.5000	-0.028
18.6000	-0.024
18.7000	-0.020
18.8000	-0.030
18.9000	-0.037
19.0000	-0.037
19.1000	-0.040
19.2000	-0.040
19.3000	-0.039
19.4000	-0.046
19.5000	-0.050
19.6000	-0.051
19.7000	-0.049
19.8000	-0.051
19.9000	-0.054
20.0000	-0.058
20.1000	-0.059
20.2000	-0.053
20.3000	-0.052
20.4000	-0.059
20.5000	-0.061
20.6000	-0.052
20.7000	-0.058
20.8000	-0.051
20.9000	-0.054
21.0000	-0.060
21.1000	-0.051
21.2000	-0.057
21.3000	-0.055
21.4000	-0.054
21.5000	-0.058
21.6000	-0.044
21.7000	-0.046
21.8000	-0.048
21.9000	-0.040
22.0000	-0.040
22.1000	-0.042
22.2000	-0.044
22.3000	-0.033
22.4000	-0.032
22.5000	-0.032
22.6000	-0.022
22.7000	-0.035
22.8000	-0.029
22.9000	-0.024
23.0000	-0.029
23.1000	-0.015
23.2000	-0.027
23.3000	-0.021
23.4000	4.273E-4
23.5000	-0.014
23.6000	-0.009
23.7000	-0.003
23.8000	-0.007
23.9000	0.003
24.0000	0.009
24.1000	0.002
24.2000	0.002
24.3000	0.011
24.4000	0.011
24.5000	0.015
24.6000	0.016
24.7000	0.016
24.8000	0.014
24.9000	0.023
25.0000	0.017
25.1000	0.022
25.2000	0.018
25.3000	0.025
25.4000	0.027
25.5000	0.033
25.6000	0.021
25.7000	0.031
25.8000	0.032
25.9000	0.028
26.0000	0.038
26.1000	0.031
26.2000	0.027
26.3000	0.043
26.4000	0.037
26.5000	0.036
26.6000	0.026
26.7000	0.033
26.8000	0.039
26.9000	0.026
27.0000	0.041
27.1000	0.022
27.2000	0.031
27.3000	0.035
27.4000	0.027
27.5000	0.020
27.6000	0.035
27.7000	0.022
27.8000	0.022
27.9000	0.030
28.0000	0.013
28.1000	0.031
28.2000	0.034
28.3000	0.017
28.4000	0.023
28.5000	0.025
28.6000	0.025
28.7000	0.017
28.8000	0.019
28.9000	0.007
29.0000	0.014
29.1000	0.013
29.2000	0.002
29.3000	0.005
29.4000	-0.010
29.5000	0.009
29.6000	-3.052E-4
29.7000	-0.002
29.8000	-9.156E-4
29.9000	-0.019
30.0000	0.001
30.1000	0.003
30.2000	-0.017
30.3000	-0.007
30.4000	-0.016
30.5000	-0.002
30.6000	0.011
30.7000	-0.020
30.8000	-0.018
30.9000	-0.015
31.0000	-0.014
31.1000	0.004
31.2000	-0.028
31.3000	-0.021
31.4000	-0.017
31.5000	-0.021
31.6000	-0.015
31.7000	-0.023
31.8000	-0.028
31.9000	-0.018
32.0000	-0.016
32.1000	-0.012
32.2000	-0.022
32.3000	-0.028
32.4000	-0.026
32.5000	-0.015
32.6000	-0.016
32.7000	-0.022
32.8000	-0.024
32.9000	-0.017
33.0000	-0.014
33.1000	-0.010
33.2000	-0.027
33.3000	-0.022
33.4000	-0.022
33.5000	-0.013
33.6000	-0.012
33.7000	-0.024
33.8000	-0.021
33.9000	-0.019
34.0000	-0.010
34.1000	-0.012
34.2000	-0.013
34.3000	-0.015
34.4000	-0.013
34.5000	0.002
34.6000	-0.006
34.7000	-0.014
34.8000	-0.007
34.9000	-0.008
35.0000	-0.001
35.1000	0.002
35.2000	-0.008
35.3000	-0.009
35.4000	1.831E-4
35.5000	0.001
35.6000	3.662E-4
