Voltage, ChA, Run #1
Time ( s )	Voltage ( V )
0.0000	-0.055
0.1000	-0.028
0.2000	-0.027
0.3000	-0.026
0.4000	-0.011
0.5000	-0.001
0.6000	1.831E-4
0.7000	0.017
0.8000	0.035
0.9000	0.022
1.0000	0.047
1.1000	0.059
1.2000	0.060
1.3000	0.052
1.4000	0.057
1.5000	0.085
1.6000	0.128
1.7000	0.160
1.8000	0.147
1.9000	0.177
2.0000	0.230
2.1000	0.290
2.2000	0.272
2.3000	0.482
2.4000	0.470
2.5000	0.570
2.6000	0.544
2.7000	0.510
2.8000	0.579
2.9000	0.529
3.0000	0.519
3.1000	0.484
3.2000	0.451
3.3000	0.414
3.4000	0.343
3.5000	0.301
3.6000	0.241
3.7000	0.181
3.8000	0.132
3.9000	0.082
4.0000	0.042
4.1000	0.035
4.2000	-0.041
4.3000	-0.029
4.4000	-0.039
4.5000	-0.077
4.6000	-0.008
4.7000	-0.136
4.8000	-0.154
4.9000	-0.224
5.0000	-0.125
5.1000	-0.190
5.2000	-0.224
5.3000	-0.472
5.4000	-0.380
5.5000	-0.342
5.6000	-0.320
5.7000	-0.558
5.8000	-0.543
5.9000	-0.601
6.0000	-0.343
6.1000	-0.406
6.2000	-0.526
6.3000	-0.618
6.4000	-0.433
6.5000	-0.313
6.6000	-0.338
6.7000	-0.447
6.8000	-0.461
6.9000	-0.283
7.0000	-0.171
7.1000	-0.219
7.2000	-0.333
7.3000	-0.228
7.4000	-0.121
7.5000	-0.030
7.6000	-0.123
7.7000	-0.133
7.8000	-0.157
7.9000	0.058
8.0000	0.064
8.1000	0.004
8.2000	-0.038
8.3000	0.106
8.4000	0.179
8.5000	0.148
8.6000	0.126
8.7000	0.176
8.8000	0.260
8.9000	0.347
9.0000	0.253
9.1000	0.282
9.2000	0.316
9.3000	0.428
9.4000	0.425
9.5000	0.401
9.6000	0.381
9.7000	0.411
9.8000	0.422
9.9000	0.473
10.0000	0.311
10.1000	0.344
10.2000	0.365
10.3000	0.429
10.4000	0.305
10.5000	0.236
10.6000	0.283
10.7000	0.299
10.8000	0.295
10.9000	0.219
11.0000	0.178
11.1000	0.196
11.2000	0.183
11.3000	0.167
11.4000	0.098
11.5000	0.096
11.6000	0.103
11.7000	0.085
11.8000	0.058
11.9000	0.034
12.0000	0.036
12.1000	0.036
12.2000	0.022
12.3000	-0.007
12.4000	-0.011
12.5000	-0.010
12.6000	-0.015
12.7000	-0.036
12.8000	-0.060
12.9000	-0.069
13.0000	-0.062
13.1000	-0.082
13.2000	-0.114
13.3000	-0.138
13.4000	-0.136
13.5000	-0.150
13.6000	-0.180
13.7000	-0.226
13.8000	-0.236
13.9000	-0.236
14.0000	-0.256
14.1000	-0.305
14.2000	-0.338
14.3000	-0.333
14.4000	-0.332
14.5000	-0.363
14.6000	-0.406
14.7000	-0.408
14.8000	-0.387
14.9000	-0.392
15.0000	-0.423
