Voltage, ChA, Run #1
Time ( s )	Voltage ( V )
0.0000	0.002
0.1000	0.003
0.2000	0.001
0.3000	0.002
0.4000	0.004
0.5000	0.003
0.6000	0.002
0.7000	9.156E-4
0.8000	0.002
0.9000	0.004
1.0000	0.002
1.1000	0.003
1.2000	0.004
1.3000	0.002
1.4000	0.004
1.5000	0.002
1.6000	0.001
1.7000	0.002
1.8000	0.004
1.9000	0.002
2.0000	0.003
2.1000	0.003
2.2000	0.004
2.3000	0.004
2.4000	0.002
2.5000	0.004
2.6000	0.005
2.7000	8.545E-4
2.8000	0.004
2.9000	0.002
3.0000	0.003
3.1000	0.003
3.2000	0.003
3.3000	0.001
3.4000	0.002
3.5000	0.005
3.6000	0.003
3.7000	-6.104E-5
3.8000	0.001
3.9000	0.003
4.0000	0.003
4.1000	0.002
4.2000	0.003
4.3000	0.003
4.4000	6.714E-4
4.5000	0.003
4.6000	0.003
4.7000	4.883E-4
4.8000	0.003
4.9000	0.005
5.0000	-0.001
5.1000	0.002
5.2000	-2.441E-4
5.3000	-1.221E-4
5.4000	2.441E-4
5.5000	0.000
5.6000	0.003
5.7000	-6.104E-4
5.8000	-0.005
5.9000	0.003
6.0000	-0.005
6.1000	-0.004
6.2000	6.714E-4
6.3000	-0.007
6.4000	-0.003
6.5000	-0.011
6.6000	-0.004
6.7000	-0.002
6.8000	-0.007
6.9000	3.662E-4
7.0000	-0.002
7.1000	-0.006
7.2000	9.156E-4
7.3000	-0.004
7.4000	7.324E-4
7.5000	0.003
7.6000	-0.002
7.7000	0.001
7.8000	3.662E-4
7.9000	-1.831E-4
8.0000	0.001
8.1000	0.000
8.2000	0.003
8.3000	0.003
8.4000	0.001
8.5000	0.005
8.6000	0.002
8.7000	-3.052E-4
8.8000	0.005
8.9000	0.004
9.0000	0.002
9.1000	0.004
9.2000	0.004
9.3000	0.005
9.4000	0.004
9.5000	0.003
9.6000	0.006
9.7000	0.003
9.8000	0.005
9.9000	0.005
10.0000	0.004
10.1000	0.003
10.2000	0.006
10.3000	0.003
10.4000	0.005
10.5000	0.006
10.6000	0.004
10.7000	0.006
10.8000	0.004
10.9000	0.005
11.0000	0.006
11.1000	0.004
11.2000	0.005
11.3000	0.005
11.4000	0.003
11.5000	0.004
11.6000	0.005
11.7000	0.004
11.8000	0.005
11.9000	0.004
12.0000	0.003
12.1000	0.004
12.2000	0.004
12.3000	0.004
12.4000	0.004
12.5000	0.004
12.6000	0.006
12.7000	0.003
12.8000	0.002
12.9000	0.005
13.0000	0.003
13.1000	0.005
13.2000	0.003
13.3000	0.003
13.4000	0.004
13.5000	0.002
13.6000	0.003
13.7000	0.005
13.8000	0.002
13.9000	0.004
14.0000	0.003
14.1000	0.003
14.2000	0.004
14.3000	0.003
14.4000	0.003
14.5000	0.003
14.6000	0.003
14.7000	0.003
14.8000	-1.221E-4
14.9000	2.441E-4
15.0000	0.003
15.1000	0.001
15.2000	1.831E-4
15.3000	0.002
15.4000	6.714E-4
15.5000	-0.001
15.6000	0.003
15.7000	-6.104E-4
15.8000	-0.001
15.9000	0.002
16.0000	1.831E-4
16.1000	0.002
16.2000	0.001
16.3000	-3.662E-4
16.4000	0.003
16.5000	-0.001
16.6000	7.935E-4
16.7000	0.002
16.8000	-0.001
16.9000	0.000
17.0000	0.003
17.1000	4.883E-4
17.2000	-4.883E-4
17.3000	0.003
17.4000	6.714E-4
17.5000	0.001
17.6000	0.003
17.7000	7.935E-4
17.8000	1.221E-4
17.9000	0.002
18.0000	0.003
18.1000	0.002
18.2000	0.001
18.3000	0.003
18.4000	0.003
18.5000	1.831E-4
18.6000	0.003
18.7000	0.003
18.8000	0.000
18.9000	0.005
19.0000	0.003
19.1000	0.001
19.2000	0.004
19.3000	0.004
19.4000	0.002
19.5000	0.002
19.6000	0.003
19.7000	0.005
19.8000	0.003
19.9000	3.662E-4
20.0000	0.006
20.1000	0.002
20.2000	0.003
20.3000	0.005
20.4000	0.002
20.5000	0.004
20.6000	0.005
20.7000	0.002
20.8000	0.006
20.9000	0.004
21.0000	0.004
21.1000	0.008
21.2000	0.006
21.3000	0.006
21.4000	0.007
21.5000	0.003
21.6000	0.006
21.7000	0.007
21.8000	0.005
21.9000	0.008
22.0000	0.006
22.1000	0.007
22.2000	0.008
22.3000	0.006
22.4000	0.005
22.5000	0.007
22.6000	0.007
22.7000	0.008
22.8000	0.008
22.9000	0.007
23.0000	0.007
23.1000	0.007
23.2000	0.006
23.3000	0.007
23.4000	0.007
23.5000	0.006
23.6000	0.005
23.7000	0.007
23.8000	0.006
