Voltage, ChA (Editable), Run #1 (Edited)
Time ( s )	Voltage ( V )
416.2000	-0.095
416.3000	-0.097
416.4000	-0.093
416.5000	-0.088
416.6000	-0.078
416.7000	-0.073
416.8000	-0.074
416.9000	-0.068
417.0000	-0.060
417.1000	-0.054
417.2000	-0.052
417.3000	-0.049
417.4000	-0.039
417.5000	-0.030
417.6000	-0.025
417.7000	-0.027
417.8000	-0.016
417.9000	-0.005
418.0000	0.000
418.1000	-6.104E-4
418.2000	0.004
418.3000	0.019
418.4000	0.025
418.5000	0.027
418.6000	0.031
418.7000	0.042
418.8000	0.052
418.9000	0.049
419.0000	0.049
419.1000	0.059
419.2000	0.068
419.3000	0.070
419.4000	0.068
419.5000	0.067
419.6000	0.090
419.7000	0.092
419.8000	0.088
419.9000	0.083
420.0000	0.099
420.1000	0.099
420.2000	0.095
420.3000	0.088
420.4000	0.096
420.5000	0.103
420.6000	0.101
420.7000	0.093
420.8000	0.098
420.9000	0.098
421.0000	0.103
421.1000	0.092
421.2000	0.087
421.3000	0.083
421.4000	0.085
421.5000	0.078
421.6000	0.069
421.7000	0.063
421.8000	0.065
421.9000	0.059
422.0000	0.049
422.1000	0.049
422.2000	0.046
422.3000	0.039
422.4000	0.030
422.5000	0.024
422.6000	0.019
422.7000	0.015
422.8000	0.007
422.9000	-0.007
423.0000	-0.009
423.1000	-0.013
423.2000	-0.029
423.3000	-0.038
423.4000	-0.035
423.5000	-0.038
423.6000	-0.041
423.7000	-0.054
423.8000	-0.058
423.9000	-0.063
424.0000	-0.071
424.1000	-0.070
424.2000	-0.078
424.3000	-0.079
424.4000	-0.081
424.5000	-0.087
424.6000	-0.084
424.7000	-0.093
424.8000	-0.095
424.9000	-0.103
425.0000	-0.103
425.1000	-0.107
425.2000	-0.107
425.3000	-0.107
425.4000	-0.106
425.5000	-0.095
425.6000	-0.103
425.7000	-0.096
425.8000	-0.092
425.9000	-0.090
426.0000	-0.088
426.1000	-0.089
426.2000	-0.081
426.3000	-0.076
426.4000	-0.074
426.5000	-0.068
426.6000	-0.062
426.7000	-0.056
426.8000	-0.052
426.9000	-0.045
427.0000	-0.046
427.1000	-0.039
427.2000	-0.039
427.3000	-0.032
427.4000	-0.029
427.5000	-0.024
427.6000	-0.015
427.7000	-0.011
427.8000	-0.007
427.9000	0.006
428.0000	0.007
428.1000	0.013
428.2000	0.021
428.3000	0.029
428.4000	0.031
428.5000	0.034
428.6000	0.041
428.7000	0.053
428.8000	0.058
428.9000	0.058
429.0000	0.059
429.1000	0.068
429.2000	0.070
429.3000	0.068
429.4000	0.068
429.5000	0.074
429.6000	0.084
429.7000	0.078
429.8000	0.084
429.9000	0.084
430.0000	0.101
430.1000	0.088
430.2000	0.092
430.3000	0.085
430.4000	0.098
430.5000	0.087
430.6000	0.085
430.7000	0.075
430.8000	0.083
430.9000	0.082
431.0000	0.078
431.1000	0.068
431.2000	0.069
431.3000	0.079
431.4000	0.064
431.5000	0.051
431.6000	0.051
431.7000	0.056
431.8000	0.051
431.9000	0.027
432.0000	0.025
432.1000	0.022
432.2000	0.026
432.3000	0.012
432.4000	0.008
432.5000	0.003
432.6000	0.009
432.7000	0.000
432.8000	-0.020
432.9000	-0.026
433.0000	-0.020
433.1000	-0.016
433.2000	-0.036
433.3000	-0.043
433.4000	-0.035
433.5000	-0.034
433.6000	-0.049
433.7000	-0.067
433.8000	-0.065
433.9000	-0.069
434.0000	-0.073
434.1000	-0.089
434.2000	-0.089
434.3000	-0.074
434.4000	-0.078
434.5000	-0.086
434.6000	-0.088
434.7000	-0.085
434.8000	-0.087
434.9000	-0.095
435.0000	-0.102
435.1000	-0.102
435.2000	-0.090
435.3000	-0.094
435.4000	-0.098
435.5000	-0.092
435.6000	-0.082
435.7000	-0.074
435.8000	-0.088
435.9000	-0.077
436.0000	-0.070
436.1000	-0.068
436.2000	-0.078
436.3000	-0.072
436.4000	-0.068
436.5000	-0.058
436.6000	-0.054
436.7000	-0.049
436.8000	-0.039
436.9000	-0.030
437.0000	-0.031
437.1000	-0.035
437.2000	-0.029
437.3000	-0.015
437.4000	-0.019
437.5000	-0.010
437.6000	-0.004
437.7000	0.016
437.8000	0.010
437.9000	0.020
438.0000	0.021
438.1000	0.029
438.2000	0.024
438.3000	0.029
438.4000	0.025
438.5000	0.040
438.6000	0.040
438.7000	0.049
438.8000	0.045
438.9000	0.065
439.0000	0.062
439.1000	0.068
439.2000	0.061
439.3000	0.074
439.4000	0.069
439.5000	0.078
439.6000	0.068
439.7000	0.079
439.8000	0.076
439.9000	0.084
440.0000	0.079
440.1000	0.084
440.2000	0.082
440.3000	0.085
440.4000	0.080
440.5000	0.078
440.6000	0.078
440.7000	0.083
440.8000	0.067
440.9000	0.063
441.0000	0.060
441.1000	0.068
441.2000	0.053
441.3000	0.055
441.4000	0.042
441.5000	0.052
441.6000	0.035
441.7000	0.033
441.8000	0.023
441.9000	0.024
442.0000	0.015
442.1000	0.010
442.2000	0.002
442.3000	0.004
442.4000	0.004
442.5000	0.000
442.6000	-0.014
442.7000	-0.019
442.8000	-0.023
442.9000	-0.024
443.0000	-0.038
443.1000	-0.042
443.2000	-0.047
443.3000	-0.041
443.4000	-0.049
443.5000	-0.052
443.6000	-0.058
443.7000	-0.065
443.8000	-0.067
443.9000	-0.074
444.0000	-0.076
444.1000	-0.082
444.2000	-0.077
444.3000	-0.078
444.4000	-0.078
444.5000	-0.081
444.6000	-0.083
444.7000	-0.081
444.8000	-0.089
444.9000	-0.088
445.0000	-0.088
445.1000	-0.087
445.2000	-0.078
445.3000	-0.078
445.4000	-0.078
445.5000	-0.076
445.6000	-0.068
445.7000	-0.064
445.8000	-0.068
445.9000	-0.069
446.0000	-0.067
446.1000	-0.054
446.2000	-0.058
446.3000	-0.059
446.4000	-0.054
446.5000	-0.047
446.6000	-0.035
446.7000	-0.036
446.8000	-0.033
446.9000	-0.025
447.0000	-0.014
447.1000	-0.016
447.2000	-0.015
447.3000	-0.010
447.4000	-6.104E-4
447.5000	0.000
447.6000	0.004
447.7000	0.010
447.8000	0.020
447.9000	0.021
448.0000	0.029
448.1000	0.028
448.2000	0.034
448.3000	0.034
448.4000	0.037
448.5000	0.037
448.6000	0.047
448.7000	0.046
448.8000	0.049
448.9000	0.056
449.0000	0.063
449.1000	0.065
449.2000	0.064
449.3000	0.062
449.4000	0.068
449.5000	0.068
449.6000	0.063
449.7000	0.063
449.8000	0.063
449.9000	0.066
450.0000	0.072
450.1000	0.071
450.2000	0.069
450.3000	0.064
450.4000	0.069
450.5000	0.061
450.6000	0.060
450.7000	0.049
450.8000	0.054
450.9000	0.054
451.0000	0.039
451.1000	0.038
451.2000	0.040
451.3000	0.045
451.4000	0.035
451.5000	0.030
451.6000	0.029
451.7000	0.029
451.8000	0.020
451.9000	0.010
452.0000	0.011
452.1000	0.007
452.2000	0.002
452.3000	-0.012
452.4000	-0.016
452.5000	-0.012
452.6000	-0.018
452.7000	-0.023
452.8000	-0.029
452.9000	-0.028
453.0000	-0.031
453.1000	-0.038
453.2000	-0.040
453.3000	-0.042
453.4000	-0.039
453.5000	-0.049
453.6000	-0.054
453.7000	-0.059
453.8000	-0.059
453.9000	-0.067
454.0000	-0.073
454.1000	-0.074
454.2000	-0.073
454.3000	-0.072
454.4000	-0.067
454.5000	-0.068
454.6000	-0.061
454.7000	-0.061
454.8000	-0.060
454.9000	-0.065
455.0000	-0.065
455.1000	-0.067
455.2000	-0.066
455.3000	-0.065
455.4000	-0.063
455.5000	-0.059
455.6000	-0.059
455.7000	-0.054
455.8000	-0.058
455.9000	-0.051
456.0000	-0.056
456.1000	-0.052
456.2000	-0.051
456.3000	-0.048
456.4000	-0.040
456.5000	-0.039
456.6000	-0.029
456.7000	-0.024
456.8000	-0.020
456.9000	-0.011
457.0000	-0.010
457.1000	-0.005
457.2000	-0.010
457.3000	-0.002
457.4000	0.003
457.5000	0.010
457.6000	0.012
457.7000	0.014
457.8000	0.020
457.9000	0.020
458.0000	0.024
458.1000	0.027
458.2000	0.031
458.3000	0.033
458.4000	0.037
458.5000	0.042
458.6000	0.042
458.7000	0.046
458.8000	0.049
458.9000	0.054
459.0000	0.049
459.1000	0.054
459.2000	0.052
459.3000	0.052
459.4000	0.054
459.5000	0.052
459.6000	0.056
459.7000	0.052
459.8000	0.056
459.9000	0.058
460.0000	0.057
460.1000	0.058
460.2000	0.058
460.3000	0.059
460.4000	0.052
460.5000	0.051
460.6000	0.044
460.7000	0.046
460.8000	0.043
460.9000	0.043
461.0000	0.040
461.1000	0.040
461.2000	0.037
461.3000	0.031
461.4000	0.026
461.5000	0.021
461.6000	0.016
461.7000	0.010
461.8000	0.003
461.9000	0.000
462.0000	-0.001
462.1000	-0.006
462.2000	-0.007
462.3000	-0.010
462.4000	-0.009
462.5000	-0.014
462.6000	-0.019
462.7000	-0.029
462.8000	-0.032
462.9000	-0.034
463.0000	-0.044
463.1000	-0.049
463.2000	-0.048
463.3000	-0.045
463.4000	-0.049
463.5000	-0.052
463.6000	-0.054
463.7000	-0.054
463.8000	-0.053
463.9000	-0.054
464.0000	-0.057
464.1000	-0.061
464.2000	-0.056
464.3000	-0.057
464.4000	-0.063
464.5000	-0.062
464.6000	-0.059
464.7000	-0.063
464.8000	-0.064
464.9000	-0.063
465.0000	-0.059
465.1000	-0.059
465.2000	-0.058
465.3000	-0.057
465.4000	-0.052
465.5000	-0.049
465.6000	-0.049
465.7000	-0.049
465.8000	-0.040
465.9000	-0.034
466.0000	-0.029
466.1000	-0.034
466.2000	-0.031
466.3000	-0.025
466.4000	-0.028
466.5000	-0.027
466.6000	-0.022
466.7000	-0.013
466.8000	-0.010
466.9000	-0.007
467.0000	-6.104E-4
467.1000	-6.104E-4
467.2000	0.005
467.3000	0.005
467.4000	0.010
467.5000	0.011
467.6000	0.020
467.7000	0.023
467.8000	0.024
467.9000	0.029
468.0000	0.029
468.1000	0.029
468.2000	0.030
468.3000	0.029
468.4000	0.032
468.5000	0.031
468.6000	0.041
468.7000	0.046
468.8000	0.052
468.9000	0.049
469.0000	0.054
469.1000	0.054
469.2000	0.048
469.3000	0.047
