Voltage, ChA (Editable), Run #14 (Edited)
Time ( s )	Voltage ( V )
0.0000	-0.002
0.1000	0.001
0.2000	0.003
0.3000	0.003
0.4000	0.001
0.5000	0.004
0.6000	0.004
0.7000	0.003
0.8000	0.005
0.9000	0.003
1.0000	0.003
1.1000	6.104E-4
1.2000	0.002
1.3000	-0.003
1.4000	-0.002
1.5000	0.001
1.6000	-0.001
1.7000	-0.002
1.8000	0.003
1.9000	0.003
2.0000	0.001
2.1000	0.003
2.2000	0.005
2.3000	0.004
2.4000	0.005
2.5000	0.004
2.6000	0.003
2.7000	0.002
2.8000	0.002
2.9000	0.002
3.0000	-0.004
3.1000	-6.104E-4
3.2000	-4.273E-4
3.3000	1.831E-4
3.4000	-0.001
3.5000	0.001
3.6000	0.003
3.7000	6.714E-4
3.8000	0.005
3.9000	0.006
4.0000	0.002
4.1000	0.004
4.2000	0.003
4.3000	0.003
4.4000	0.001
4.5000	-1.831E-4
4.6000	9.156E-4
4.7000	-5.493E-4
4.8000	-0.001
4.9000	4.883E-4
5.0000	-0.001
5.1000	-9.156E-4
5.2000	0.002
5.3000	0.002
5.4000	0.005
5.5000	0.004
5.6000	0.005
5.7000	0.003
5.8000	0.004
5.9000	0.005
6.0000	0.002
6.1000	0.001
6.2000	1.831E-4
6.3000	7.935E-4
6.4000	-3.662E-4
6.5000	-0.001
6.6000	6.714E-4
6.7000	-0.001
6.8000	0.002
6.9000	0.001
7.0000	0.004
7.1000	0.003
7.2000	0.001
7.3000	0.004
7.4000	0.005
7.5000	0.003
7.6000	0.003
7.7000	0.003
7.8000	-6.104E-5
7.9000	-2.441E-4
8.0000	1.831E-4
8.1000	9.156E-4
8.2000	-0.002
8.3000	-6.104E-4
8.4000	6.714E-4
8.5000	7.324E-4
8.6000	0.003
8.7000	0.003
8.8000	0.002
8.9000	0.002
9.0000	0.014
9.1000	0.003
9.2000	-0.002
9.3000	0.003
9.4000	6.714E-4
9.5000	-0.003
9.6000	6.104E-5
9.7000	-0.003
9.8000	-0.010
9.9000	-0.002
10.0000	9.156E-4
10.1000	0.005
10.2000	-0.008
10.3000	0.004
10.4000	0.005
10.5000	0.004
10.6000	0.010
10.7000	0.008
10.8000	0.005
10.9000	0.002
11.0000	3.052E-4
11.1000	1.221E-4
11.2000	0.002
11.3000	-0.001
11.4000	-0.004
11.5000	-0.002
11.6000	-0.003
11.7000	4.273E-4
11.8000	-0.003
11.9000	7.935E-4
12.0000	7.324E-4
12.1000	0.003
12.2000	0.005
12.3000	0.005
12.4000	0.004
12.5000	0.006
12.6000	0.009
12.7000	0.006
12.8000	0.002
12.9000	0.001
13.0000	-3.052E-4
13.1000	-0.002
13.2000	-0.002
13.3000	-0.004
13.4000	-4.273E-4
13.5000	-4.273E-4
13.6000	0.002
13.7000	0.002
13.8000	0.002
13.9000	0.004
14.0000	0.005
14.1000	0.004
14.2000	0.004
14.3000	0.005
14.4000	0.002
14.5000	0.004
14.6000	3.662E-4
14.7000	1.221E-4
14.8000	-0.001
14.9000	-0.001
15.0000	-4.883E-4
15.1000	-0.004
15.2000	8.545E-4
15.3000	2.441E-4
15.4000	0.003
15.5000	0.001
15.6000	0.004
15.7000	0.002
15.8000	0.004
15.9000	0.005
16.0000	0.006
16.1000	0.003
16.2000	0.003
16.3000	0.002
16.4000	-0.003
16.5000	-9.766E-4
16.6000	-0.001
16.7000	-5.493E-4
16.8000	-4.883E-4
16.9000	-6.714E-4
17.0000	0.001
17.1000	0.002
17.2000	0.003
17.3000	0.004
17.4000	0.003
17.5000	0.005
17.6000	0.004
17.7000	0.005
17.8000	0.004
17.9000	0.003
18.0000	0.003
18.1000	-0.002
18.2000	-0.002
18.3000	-7.935E-4
18.4000	-0.002
18.5000	-0.002
18.6000	-6.714E-4
18.7000	0.002
18.8000	0.002
