Output Voltage, Run #16
Time ( s )	Voltage ( V )
0.0000	-2.689
0.0100	-1.240
0.0200	-2.628
0.0300	-2.038
0.0400	3.163
0.0500	2.382
0.0600	2.561
0.0700	2.303
0.0800	2.214
0.0900	-2.937
0.1000	-2.660
0.1100	-1.252
0.1200	-2.624
0.1300	-2.059
0.1400	3.195
0.1500	2.391
0.1600	2.569
0.1700	2.292
0.1800	2.205
0.1900	-2.918
0.2000	-2.669
0.2100	-1.248
0.2200	-2.628
0.2300	-2.069
0.2400	3.226
0.2500	2.459
0.2600	2.580
0.2700	2.308
0.2800	2.219
0.2900	-2.935
0.3000	-2.658
0.3100	-1.250
0.3200	-2.627
0.3300	-2.051
0.3400	3.195
0.3500	2.299
0.3600	2.551
0.3700	2.276
0.3800	2.208
0.3900	-2.922
0.4000	-2.667
0.4100	-1.246
0.4200	-2.638
0.4300	-2.057
0.4400	3.200
0.4500	2.431
0.4600	2.568
0.4700	2.277
0.4800	2.183
0.4900	-2.916
0.5000	-2.668
0.5100	-1.242
0.5200	-2.603
0.5300	-2.061
0.5400	3.128
0.5500	2.123
0.5600	2.413
0.5700	2.185
0.5800	2.210
0.5900	-2.910
0.6000	-2.678
0.6100	-1.253
0.6200	-2.629
0.6300	-2.045
0.6400	3.138
0.6500	2.250
0.6600	2.570
0.6700	2.178
0.6800	2.150
0.6900	-2.908
0.7000	-2.675
0.7100	-1.251
0.7200	-2.612
0.7300	-2.067
0.7400	3.178
0.7500	2.279
0.7600	2.523
0.7700	2.274
0.7800	2.211
0.7900	-2.912
0.8000	-2.674
0.8100	-1.265
0.8200	-2.626
0.8300	-2.040
0.8400	3.171
0.8500	2.387
0.8600	2.520
0.8700	2.365
0.8800	2.236
0.8900	-2.865
0.9000	-2.706
0.9100	-1.234
0.9200	-2.633
0.9300	-2.047
0.9400	3.157
0.9500	2.401
0.9600	2.564
0.9700	2.253
0.9800	2.197
0.9900	-2.908
1.0000	-2.664
1.0100	-1.263
1.0200	-2.606
1.0300	-2.093
1.0400	3.204
1.0500	2.192
1.0600	2.398
1.0700	2.353
1.0800	2.174
1.0900	-2.848
1.1000	-2.716
1.1100	-1.227
1.1200	-2.611
1.1300	-2.035
1.1400	3.079
1.1500	2.102
1.1600	2.391
1.1700	2.190
1.1800	2.230
1.1900	-2.860
1.2000	-2.701
1.2100	-1.261
1.2200	-2.579
1.2300	-2.072
1.2400	3.168
1.2500	2.374
1.2600	2.558
1.2700	2.330
1.2800	2.135
1.2900	-2.947
1.3000	-2.642
1.3100	-1.258
1.3200	-2.631
1.3300	-2.045
1.3400	3.188
1.3500	2.385
1.3600	2.503
1.3700	2.380
1.3800	2.149
1.3900	-2.941
1.4000	-2.662
1.4100	-1.242
1.4200	-2.630
1.4300	-2.015
1.4400	3.096
1.4500	2.213
1.4600	2.560
1.4700	2.167
1.4800	2.133
1.4900	-2.892
1.5000	-2.662
1.5100	-1.257
1.5200	-2.578
1.5300	-2.069
1.5400	3.143
1.5500	2.188
1.5600	2.523
1.5700	2.311
1.5800	2.209
1.5900	-2.900
1.6000	-2.682
1.6100	-1.249
1.6200	-2.620
1.6300	-2.031
1.6400	3.148
1.6500	2.353
1.6600	2.546
1.6700	2.299
1.6800	2.192
1.6900	-2.929
1.7000	-2.661
1.7100	-1.252
1.7200	-2.615
1.7300	-2.050
1.7400	3.176
1.7500	2.418
1.7600	2.570
1.7700	2.286
1.7800	2.172
1.7900	-2.901
1.8000	-2.664
1.8100	-1.239
1.8200	-2.606
1.8300	-2.080
1.8400	3.201
1.8500	2.335
1.8600	2.463
1.8700	2.372
1.8800	2.161
1.8900	-2.936
1.9000	-2.666
1.9100	-1.243
1.9200	-2.631
1.9300	-2.014
1.9400	3.130
1.9500	2.225
1.9600	2.347
1.9700	2.316
1.9800	2.246
1.9900	-2.829
2.0000	-2.732
2.0100	-1.255
2.0200	-2.601
2.0300	-2.055
2.0400	3.192
2.0500	2.427
2.0600	2.557
2.0700	2.322
2.0800	2.184
2.0900	-2.908
2.1000	-2.667
2.1100	-1.259
2.1200	-2.611
2.1300	-2.049
2.1400	3.163
2.1500	2.259
2.1600	2.488
2.1700	2.310
2.1800	2.134
2.1900	-2.946
2.2000	-2.655
2.2100	-1.240
2.2200	-2.637
2.2300	-2.023
2.2400	3.175
2.2500	2.479
2.2600	2.568
2.2700	2.252
2.2800	2.166
2.2900	-2.911
2.3000	-2.647
2.3100	-1.248
2.3200	-2.604
2.3300	-2.051
2.3400	3.163
2.3500	2.336
2.3600	2.496
2.3700	2.357
2.3800	2.169
2.3900	-2.851
2.4000	-2.720
2.4100	-1.248
2.4200	-2.590
2.4300	-2.041
2.4400	3.130
2.4500	2.412
2.4600	2.553
2.4700	2.282
2.4800	2.172
2.4900	-2.887
2.5000	-2.667
2.5100	-1.246
2.5200	-2.603
2.5300	-2.083
2.5400	3.216
2.5500	2.360
2.5600	2.545
2.5700	2.319
2.5800	2.218
2.5900	-2.876
2.6000	-2.695
2.6100	-1.226
2.6200	-2.622
2.6300	-2.015
2.6400	3.125
2.6500	2.289
2.6600	2.537
2.6700	2.208
2.6800	2.170
2.6900	-2.897
2.7000	-2.664
2.7100	-1.257
2.7200	-2.612
2.7300	-2.075
2.7400	3.198
2.7500	2.404
2.7600	2.588
2.7700	2.316
2.7800	2.217
2.7900	-2.874
2.8000	-2.670
2.8100	-1.249
2.8200	-2.616
2.8300	-2.076
2.8400	3.244
2.8500	2.447
2.8600	2.490
2.8700	2.217
2.8800	2.104
2.8900	-2.846
2.9000	-2.725
2.9100	-1.216
2.9200	-2.646
2.9300	-2.026
2.9400	3.090
2.9500	2.268
2.9600	2.562
2.9700	2.284
2.9800	2.085
2.9900	-2.877
3.0000	-2.664
3.0100	-1.276
