time (s),count,uncertainty,,,,,,,,,
0,1052,32.43,,,,,,,,,
30,895,29.92,,,,,n1,n2,t1,t2,lambda
60,773,27.8,,,,,1052,145,0,450,
90,723,26.89,,,,,895,145,30,450,
120,631,25.12,,,,,1052,164,0,420,
150,543,23.3,,,,,895,164,30,420,
180,434,20.83,,,,,773,145,60,450,
210,416,20.4,,,,,,,,,
240,394,19.85,,,,,,,,,
270,342,18.49,,,,,,,,,
300,287,16.94,,,,,,,,,
330,263,16.22,,,,,,,,,
360,237,15.39,,,,,,,,,
390,221,14.87,,,,,,,,,
420,164,12.81,,,,,,,,,
450,145,12.04,,,,,,,,,
480,115,10.72,,,,,,,,,
,,error: ROOT(N),,,,,,,,,
