Voltage (V),	Deflection (mm), uncertainty
0.0,	60.5, 0.05
0.1,	47.8, 0.05
0.2,	33.9, 0.05
0.3,	21.5, 0.05
0.4,	11.7, 0.05
0.5,	4.0, 0.05
0.6,	-1.2, 0.05
0.7,	-5.0, 0.05
0.8,	-7.5, 0.05
0.9,	-9.0, 0.05
1.0,	-10.0, 0.05
1.1,	-10.5, 0.05
1.2,	-10.9, 0.05
1.3,	-11.0, 0.05
1.4,	-11.1, 0.05
1.5,	-11.1, 0.05
1.6,	-11.1, 0.05
1.7,	-11.1, 0.05
1.8,	-11.1, 0.05
1.9,	-11.1, 0.05
2.0,	-11.1, 0.05
2.1,	-11.2, 0.05
2.2,	-11.2, 0.05
2.3,	-11.2, 0.05
2.4,	-11.2, 0.05
2.5,	-11.3, 0.05
2.6,	-11.3, 0.05
2.7,	-11.3, 0.05
2.8,	-11.3, 0.05
2.9,	-11.4, 0.05
