Voltage (V),	546nm,	577nm,	435nm
0.0,	        22.0,	4.9,	60.5
0.1,	        16.0,	3.3,	47.8
0.2,	        10.1,	2.0,	33.9
0.3,	        5.0,    0.9,    21.5
0.4,	        1.7,    0.1,    11.7
0.5,	        -0.1,	0.0,	 4.0
0.6,	        -0.9,	0.0,	-1.2
0.7,	        -1.2,	0.0,	-5.0
0.8,	        -1.3,	0.0,	-7.5
0.9,	        -1.4,	0.0,	-9.0
1.0,	        -1.4,	0.0,	-10.0
1.1,	        -1.5,	0.0,	-10.5
1.2,	        -1.5,	0.0,	-10.9
1.3,	        -1.5,	0.0,	-11.0
1.4,	        -1.5,	0.0,	-11.1
1.5,	        -1.5,	0.0,	-11.1
1.6,	        -1.5,	0.0,	-11.1
1.7,	        -1.5,	0.0,	-11.1
1.8,	        -1.5,	0.0,	-11.1
1.9,	        -1.5,	0.0,	-11.1
2.0,	        -1.5,	0.0,	-11.1
2.1,	        -1.5,	0.0,	-11.2
2.2,	        -1.5,	0.0,	-11.2
2.3,	        -1.5,	0.0,	-11.2
2.4,	        -1.5,	0.0,	-11.2
2.5,	        -1.5,	0.0,	-11.3
2.6,	        -1.5,	0.0,	-11.3
2.7,	        -1.5,	0.0,	-11.3
2.8,	        -1.5,	0.0,	-11.3
2.9,	        -1.5,	0.0,	-11.4
