Frequency (MHz), I_0 (A), 2I_0 (A), B (mT)
30.7,   0.644,  1.288,  2.724
35.0,   0.731,  1.462,  3.092
40.0,   0.880,  1.760,  3.722
45.0,   0.993,  1.986,  4.200
50.0,   1.112,  2.224,  4.704
55.0,   1.205,  2.410,  5.097
60.0,   1.317,  2.634,  5.571
65.0,   1.442,  2.884,  6.100
70.0,   1.534,  3.068,  6.489
75.0,   1.595,  3.190,  6.747
80.0,   1.692,  3.384,  7.157
85.0,   1.765,  3.530,  7.466
90.0,   1.917,  3.834,  8.109
95.0,   2.035,  4.070,  8.608
100.0,  2.067,  4.134,  8.743
105.0,  2.221,  4.442,  9.395
110.0,  2.293,  4.586,  9.699
